"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.941235364E2,1.865504384E0,-8.743971825E0,6.505187511E0
1.941735364E2,1.159322619E0,-8.779864311E0,6.543472767E0
1.942235364E2,-1.405783296E-1,-1.017069244E1,7.438986301E0
1.942735364E2,3.524627686E0,-7.486843109E0,6.356832504E0
1.943235364E2,2.456830740E0,-8.082955360E0,7.584948540E0
1.943735364E2,2.069193363E0,-6.249155521E0,7.273881912E0
1.944235364E2,2.705983400E0,-7.371987343E0,1.002712345E1
1.944735364E2,3.565305710E0,-7.666603565E0,9.746864319E0
1.945235364E2,9.197412133E-1,-3.955634832E0,7.197311401E0
1.945735364E2,-4.112663865E-1,-1.039681435E0,4.080061913E0
1.946235364E2,-1.464706540E0,5.524429083E-1,5.059324265E0
1.946735364E2,1.417747378E0,-6.517450809E-1,6.701697826E0
1.947235364E2,6.158527136E-1,-1.568794370E0,6.881159782E0
1.947735364E2,6.924230456E-1,-2.040479422E0,8.525926590E0
1.948235364E2,2.140978098E0,-4.601995945E0,5.475974560E0
1.948735364E2,8.623134494E-1,-5.224429131E0,6.589235306E0
1.949235364E2,6.469594240E-1,-1.075484085E1,6.986443996E0
1.949735364E2,1.896611094E0,-1.191835022E1,7.944170952E0
1.950235364E2,-1.079162955E0,-1.166231823E1,9.095717430E0
1.950735364E2,3.146262646E0,-9.845269203E0,6.692126751E0
1.951235364E2,1.113858938E0,-7.264310360E0,5.375176907E0
1.951735364E2,1.353141189E0,-8.298607826E0,5.420640469E0
1.952235364E2,1.657328725E0,-8.169395447E0,7.144669533E0
1.952735364E2,2.114656925E0,-1.276361465E1,1.002951622E1
1.953235364E2,2.535793781E0,-9.919445992E0,5.978467464E0
1.953735364E2,3.661018610E0,-5.054538727E0,7.565805912E0
1.954235364E2,2.519043922E0,-8.451748848E0,7.185347080E0
1.954735364E2,1.851147413E0,-5.373083115E0,7.115656376E0
1.955235364E2,2.770589590E0,-4.101597309E0,9.050253868E0
1.955735364E2,1.472782373E0,-3.922135353E0,8.461319923E0
1.956235364E2,5.368895531E-1,-1.575972795E0,6.131906986E0
1.956735364E2,1.228714466E0,-2.063809484E-1,5.559723377E0
1.957235364E2,1.728814393E-1,6.481558084E-1,4.786243439E0
1.957735364E2,1.200000525E0,-1.707578063E0,6.433403015E0
1.958235364E2,1.549651742E0,-3.462414265E0,7.194918633E0
1.958735364E2,1.635793328E0,-6.107978821E0,8.121239662E0
1.959235364E2,1.910967946E0,-8.547461510E0,8.458927155E0
1.959735364E2,1.161715388E0,-9.976874352E0,5.717649937E0
1.960235364E2,2.231905222E0,-6.984051228E0,6.723233223E0
1.960735364E2,6.924230456E-1,-1.068784142E1,7.596912861E0
1.961235364E2,3.038585663E0,-1.122173977E1,9.593723297E0
1.961735364E2,8.383852243E-1,-8.358428955E0,6.203691959E0
1.962235364E2,8.958129883E-1,-7.266703129E0,5.200500965E0
1.962735364E2,3.284149170E-1,-8.942576408E0,5.806184292E0
1.963235364E2,1.987538338E0,-8.652746201E0,7.802994728E0
1.963735364E2,4.324428558E0,-8.494819641E0,9.052646637E0
1.964235364E2,1.791326880E0,-9.050253868E0,7.134799004E0
1.964735364E2,2.729911566E0,-6.615556240E0,7.869993687E0
1.965235364E2,1.659721613E0,-5.401797295E0,7.108478069E0
1.965735364E2,8.551349640E-1,-6.021837234E0,7.958528042E0
1.966235364E2,7.235297561E-1,-1.156929731E0,7.618448257E0
1.966735364E2,1.302891970E0,-6.948158741E-1,4.551746845E0
1.967235364E2,1.752742529E-1,-3.933202326E-1,6.936194420E0
1.967735364E2,1.113858938E0,-1.097109199E0,5.581258774E0
1.968235364E2,1.195214868E0,-1.705185294E0,7.750352383E0
1.968735364E2,2.229512453E0,-3.723531246E0,8.255238533E0
1.969235364E2,-1.716850251E-1,-7.975277901E0,5.708078384E0
1.969735364E2,2.380260229E0,-4.405784607E0,8.078168869E0
1.970235364E2,3.326023579E0,-8.066205025E0,7.661519051E0
1.970735364E2,-1.549352705E-1,-1.237567902E1,7.608876705E0
1.971235364E2,5.895316601E-1,-1.086969566E1,9.332606316E0
1.971735364E2,5.044967651E0,-8.693424225E0,8.528319359E0
1.972235364E2,-1.684846282E0,-8.250751495E0,3.091227770E0
1.972735364E2,-5.739783049E-1,-9.447761536E0,4.836492538E0
1.973235364E2,2.059622049E0,-6.014658928E0,7.604091167E0
1.973735364E2,5.633901119E0,-8.822935104E0,9.701400757E0
1.974235364E2,9.463613629E-1,-1.024726295E1,4.151846409E0
1.974735364E2,4.618745804E0,-5.492724419E0,1.299811172E1
1.975235364E2,3.019443035E0,-6.723233223E0,6.387938976E0
1.975735364E2,6.876373887E-1,-6.909873486E0,6.981658459E0
1.976235364E2,1.016949583E-2,-1.800898194E0,6.890730858E0
1.976735364E2,3.355933726E-1,-1.106680512E0,6.112764359E0
1.977235364E2,-1.136590727E-2,-8.216354847E-1,4.910969257E0
1.977735364E2,5.297111273E-1,5.141577721E-1,5.305785179E0
1.978235364E2,1.463211060E0,-1.377069473E0,7.077371120E0
1.978735364E2,1.700399637E0,-3.666103363E0,8.293822289E0
1.979235364E2,6.948158741E-1,-6.550950050E0,6.938587666E0
1.979735364E2,1.726720691E0,-6.000301838E0,7.788637638E0
1.980235364E2,-1.022931710E-1,-1.028076267E1,5.341677666E0
1.980735364E2,1.946860313E0,-1.019222832E1,7.941778183E0
1.981235364E2,2.174477577E0,-8.327322006E0,7.584948540E0
1.981735364E2,1.680957973E-1,-1.173171043E1,7.843672752E0
1.982235364E2,1.882254124E0,-9.411869049E0,6.972086906E0
1.982735364E2,2.925225794E-1,-8.959325790E0,5.880361557E0
1.983235364E2,1.412961721E0,-7.405487061E0,6.134299755E0
1.983735364E2,2.040180445E0,-7.645068169E0,6.967301369E0
1.984235364E2,4.446462631E0,-8.992825508E0,8.293822289E0
1.984735364E2,2.880659342E0,-6.845267296E0,8.568997383E0
1.985235364E2,2.315654039E0,-8.420641899E0,8.092526436E0
1.985735364E2,2.478366137E0,-6.040979862E0,7.858029366E0
1.986235364E2,1.671685696E0,-2.863909483E0,7.791030407E0
1.986735364E2,1.348355532E0,-3.701995850E0,5.973681927E0
1.987235364E2,-2.484647274E0,7.390831113E-1,3.278167009E0
1.987735364E2,1.252642632E0,7.893323898E-1,7.951349735E0
1.988235364E2,3.547359705E-1,-2.349153519E0,5.925825119E0
1.988735364E2,1.520937920E0,-1.362712502E0,7.788637638E0
1.989235364E2,1.204786181E0,-4.961218834E0,5.868397713E0
1.989735364E2,1.360319614E0,-6.696912289E0,7.113263607E0
1.990235364E2,1.913360834E0,-7.147062302E0,6.792625427E0
1.990735364E2,1.288534999E0,-1.255753326E1,6.569793701E0
1.991235364E2,1.482353687E0,-8.573782921E0,8.810671806E0
1.991735364E2,3.910171270E0,-9.038289070E0,9.933504105E0
1.992235364E2,7.283154130E-1,-1.001994514E1,6.921837807E0
1.992735364E2,-2.126621157E-1,-1.033819008E1,5.360819817E0
1.993235364E2,3.139084101E0,-9.986445427E0,7.592127323E0
1.993735364E2,1.906182289E0,-7.115955353E0,5.037788868E0
1.994235364E2,6.158527136E-1,-5.495117188E0,5.712863922E0
1.994735364E2,4.350749969E0,-7.391129971E0,8.221738815E0
1.995235364E2,4.015455723E0,-8.001599312E0,1.028794098E1
1.995735364E2,2.576471806E0,-7.992027760E0,8.686244965E0
1.996235364E2,1.808076620E0,-5.950052738E0,9.296713829E0
1.996735364E2,8.527421951E-1,-2.164906263E0,3.297309637E0
1.997235364E2,-6.744768620E-1,-3.239283562E-1,4.482355118E0
1.997735364E2,6.110670567E-1,-4.435695112E-1,5.408676624E0
1.998235364E2,6.637091637E-1,-1.082752272E-1,8.073383331E0
1.998735364E2,2.672483683E0,-2.799303293E0,7.939385414E0
1.999235364E2,1.231107235E0,-3.002693415E0,7.855636597E0
1.999735364E2,7.163512707E-1,-5.492724419E0,5.521438122E0
2.000235364E2,1.130608678E0,-7.484450340E0,6.127121449E0
2.000735364E2,9.918249846E-1,-1.086251736E1,7.625626564E0
2.001235364E2,2.193620205E0,-1.474337673E1,9.579366684E0
2.001735364E2,2.131406784E0,-7.685746193E0,8.092526436E0
2.002235364E2,9.607182741E-1,-6.909873486E0,6.134299755E0
2.002735364E2,3.649054468E-2,-9.059824944E0,6.002395630E0
2.003235364E2,1.666900039E0,-8.667102814E0,6.172585011E0
2.003735364E2,3.765704632E-1,-1.225843048E1,8.624032021E0
2.004235364E2,4.005884171E0,-7.999206066E0,6.795018196E0
2.004735364E2,2.229512453E0,-5.337191105E0,5.621936798E0
2.005235364E2,2.624627352E0,-6.244369984E0,6.471687794E0
2.005735364E2,2.176870346E0,-6.577271461E0,9.251250267E0
2.006235364E2,1.549651742E0,-7.544270515E0,1.055862904E1
2.006735364E2,2.808874607E0,-3.835993767E0,8.746066093E0
2.007235364E2,6.062814593E-1,-2.243869543E0,4.944468975E0
2.007735364E2,-5.093721151E-1,2.235494614E0,2.629113913E0
2.008235364E2,-9.954141974E-1,7.510471940E-1,5.406283855E0
2.008735364E2,1.774577141E0,-4.784149647E0,9.768399239E0
2.009235364E2,2.497508526E0,-2.617448807E0,1.105872917E1
2.009735364E2,2.533401012E0,-4.051347733E0,7.364809036E0
2.010235364E2,2.279163599E-1,-8.430212975E0,3.742374659E0
2.010735364E2,1.513460279E-1,-7.185347080E0,4.539782524E0
2.011235364E2,3.165405273E0,-1.043659496E1,9.062217712E0
2.011735364E2,3.701696634E0,-1.406830120E1,1.022333431E1
2.012235364E2,4.914259613E-1,-1.069023418E1,6.658627033E0
2.012735364E2,1.974078640E-2,-6.792625427E0,5.741578102E0
2.013235364E2,1.674078584E0,-6.117550373E0,5.437390327E0
2.013735364E2,1.501795292E0,-9.150752068E0,6.335297108E0
2.014235364E2,2.535793781E0,-8.837292671E0,7.539484978E0
2.014735364E2,3.249453068E0,-1.105424213E1,1.056820011E1
2.015235364E2,4.211667061E0,-7.443772316E0,7.379166126E0
2.015735364E2,1.348355532E0,-6.909873486E0,7.654340744E0
2.016235364E2,3.067299604E0,-4.836791992E0,7.237989426E0
2.016735364E2,8.168498278E-1,-3.242274761E0,9.478867531E0
2.017235364E2,-1.812563092E-1,1.429711580E-1,6.716054916E0
2.017735364E2,1.680957973E-1,6.409773827E-1,5.588437080E0
2.018235364E2,4.842474759E-1,-6.804589629E-1,4.467998028E0
2.018735364E2,-6.672984362E-1,-1.006181955E0,3.519842148E0
2.019235364E2,1.834397674E0,-4.451248169E0,9.785149574E0
2.019735364E2,1.018146038E0,-7.051349163E0,5.449354649E0
2.020235364E2,4.770690203E-1,-5.416153908E0,7.271489143E0
2.020735364E2,7.187440991E-1,-6.134299755E0,3.938885212E0
2.021235364E2,5.392823815E-1,-9.414261818E0,3.014657497E0
2.021735364E2,-2.437688112E-1,-8.193324089E0,8.509176254E0
2.022235364E2,5.787041664E0,-1.528445339E1,9.277571678E0
2.022735364E2,-5.165506005E-1,-8.889934540E0,5.464010715E0
2.023235364E2,2.231905222E0,-6.883552551E0,4.264308929E0
2.023735364E2,8.479565382E-1,-8.856434822E0,7.599305630E0
2.024235364E2,8.096713424E-1,-1.016829967E1,6.196513176E0
2.024735364E2,2.545365095E0,-9.265906334E0,7.331309319E0
2.025235364E2,3.433700562E0,-8.415856361E0,9.868897438E0
2.025735364E2,4.889433861E0,-7.936992645E0,7.841279984E0
2.026235364E2,1.788933992E0,-6.014658928E0,7.110870838E0
2.026735364E2,2.243869543E0,-4.654638290E0,8.501997948E0
2.027235364E2,9.463613629E-1,-5.394618511E0,9.596116066E0
2.027735364E2,2.052144527E0,-8.192426562E-1,6.576972008E0
2.028235364E2,8.335995674E-1,-2.039881349E-1,5.059324265E0
2.028735364E2,-5.380859971E-1,5.787639618E-1,3.824029684E0
2.029235364E2,1.851147413E0,2.027917206E-1,5.612365723E0
2.029735364E2,2.511865616E0,-4.453640938E0,8.415856361E0
2.030235364E2,2.009073734E0,-4.257429600E0,7.549056530E0
2.030735364E2,3.571287692E-1,-6.900302410E0,7.108478069E0
2.031235364E2,7.905287743E-1,-1.212443256E1,6.495615959E0
2.031735364E2,1.999502420E0,-8.806185722E0,7.568199158E0
2.032235364E2,9.918249846E-1,-1.032861900E1,7.846065521E0
2.032735364E2,6.110670567E-1,-9.974481583E0,7.355237484E0
2.033235364E2,2.310868502E0,-8.753543854E0,7.175776005E0
2.033735364E2,9.870393276E-1,-9.426225662E0,6.392724991E0
2.034235364E2,-9.750752151E-2,-9.943374634E0,5.566901684E0
2.034735364E2,2.775375128E0,-7.068099022E0,6.711269379E0
2.035235364E2,3.661018610E0,-6.972086906E0,7.565805912E0
2.035735364E2,2.088335991E0,-8.698508263E0,8.545068741E0
2.036235364E2,1.348355532E0,-8.308178902E0,9.277571678E0
2.036735364E2,3.088835001E0,-5.464010715E0,8.126026154E0
2.037235364E2,1.085145116E0,-5.262714386E0,6.706483841E0
2.037735364E2,-5.500500798E-1,5.667998791E-1,4.889134884E0
2.038235364E2,1.329213023E0,-1.537687659E0,6.306583405E0
2.038735364E2,3.619144261E-1,-1.020538807E0,6.991229534E0
2.039235364E2,4.962115884E-1,-1.006181955E0,6.165406704E0
2.039735364E2,6.900302172E-1,-2.540878534E0,6.541079998E0
2.040235364E2,1.664507270E0,-2.816053152E0,5.966503143E0
2.040735364E2,2.117049932E0,-4.568496704E0,7.838887215E0
2.041235364E2,1.156929731E0,-9.811470032E0,8.252845764E0
2.041735364E2,1.396211982E0,-1.044138050E1,7.326523781E0
2.042235364E2,1.441675663E0,-9.285049438E0,8.233702660E0
2.042735364E2,1.489532113E0,-1.078355408E1,7.367201805E0
2.043235364E2,1.846361756E0,-8.238787651E0,6.222834587E0
2.043735364E2,2.781656384E-1,-9.059824944E0,6.586842537E0
2.044235364E2,1.415354609E0,-8.530712128E0,6.093621731E0
2.044735364E2,2.315654039E0,-8.248358727E0,7.113263607E0
2.045235364E2,3.460021496E0,-8.434998512E0,7.415058136E0
2.045735364E2,1.528116345E0,-7.977670670E0,7.587341309E0
2.046235364E2,3.488735437E0,-8.715258598E0,9.308678627E0
2.046735364E2,2.186441660E0,-5.796612740E0,7.582555771E0
2.047235364E2,1.913360834E0,-4.539782524E0,6.646663189E0
2.047735364E2,3.667000830E-1,-3.259024382E0,7.453343391E0
2.048235364E2,1.276570916E0,-2.045265198E0,6.677769661E0
2.048735364E2,-2.341975123E-1,-3.239283562E-1,7.386344433E0
2.049235364E2,4.818546474E-1,-6.206383705E-1,4.029812336E0
2.049735364E2,-3.035893738E-1,-5.416752100E-1,4.585246563E0
2.050235364E2,1.882254124E0,-1.922932148E0,6.435795784E0
2.050735364E2,1.647757530E0,-4.506283283E0,8.753244400E0
2.051235364E2,9.029914737E-1,-7.802994728E0,8.557032585E0
2.051735364E2,1.188036442E0,-8.882756233E0,6.598806858E0
2.052235364E2,1.793719649E0,-8.698508263E0,6.821339130E0
2.052735364E2,1.149751306E0,-1.150170040E1,7.968099594E0
2.053235364E2,3.160619497E0,-6.596413612E0,8.195417404E0
2.053735364E2,7.594220638E-1,-1.089362431E1,7.427022457E0
2.054235364E2,6.349952817E-1,-9.667901039E0,6.873981476E0
2.054735364E2,1.470389485E0,-9.720542908E0,6.859624386E0
2.055235364E2,2.554936409E0,-8.248358727E0,6.421438694E0
2.055735364E2,1.769791484E0,-5.662614822E0,4.930111885E0
2.056235364E2,2.806481838E0,-6.476772785E0,9.038289070E0
2.056735364E2,3.282952785E0,-9.131608963E0,8.846863747E0
2.057235364E2,2.468794823E0,-7.642675400E0,1.037168980E1
2.057735364E2,2.835195780E0,-5.846862316E0,8.324929237E0
2.058235364E2,-1.357926875E-1,-8.144569993E-1,4.712066174E0
2.058735364E2,-1.962712765E0,1.501496136E-1,3.467200041E0
2.059235364E2,8.455637097E-1,6.290132403E-1,5.885147095E0
