"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.652638467E2,-7.215264893E1,5.922011566E1,-2.665425110E1
1.653137097E2,-6.758963776E1,4.904801941E1,-2.853302002E1
1.653635718E2,-6.187561798E1,3.963748932E1,-2.959855652E1
1.654134347E2,-5.518472672E1,3.112109756E1,-3.146893311E1
1.654632967E2,-4.854330826E1,2.503960037E1,-3.323339844E1
1.655131587E2,-4.256026459E1,2.251757431E1,-3.299221802E1
1.655630217E2,-3.579736328E1,2.111972809E1,-3.321150208E1
1.656128838E2,-3.146789932E1,2.184067154E1,-3.452038574E1
1.656627467E2,-2.900819778E1,2.454212570E1,-3.468554688E1
1.657126087E2,-2.825182915E1,2.748872375E1,-3.465132141E1
1.657624718E2,-3.017022705E1,3.128461456E1,-3.427221680E1
1.658123337E2,-3.352034378E1,3.653315735E1,-3.230259705E1
1.658621967E2,-3.779666138E1,4.223320007E1,-2.961187744E1
1.659120587E2,-4.028285980E1,4.664749527E1,-2.756921387E1
1.659619207E2,-4.335843658E1,5.203093719E1,-2.397549438E1
1.660117838E2,-4.518390274E1,5.747689056E1,-2.108537292E1
1.660616457E2,-4.445447922E1,6.329899597E1,-2.046286011E1
1.661115087E2,-4.235369873E1,6.932050323E1,-1.907600403E1
1.661613707E2,-4.021547699E1,7.387600708E1,-1.850213623E1
1.662112337E2,-3.745114899E1,7.907034302E1,-1.992854309E1
1.662610958E2,-3.593098450E1,8.356961823E1,-1.982752991E1
1.663109587E2,-3.616065979E1,8.544976807E1,-2.098944092E1
1.663608207E2,-3.888445663E1,8.717628479E1,-2.343325806E1
1.664106827E2,-4.200756836E1,8.747848511E1,-2.571629333E1
1.664605457E2,-4.666539764E1,8.443811035E1,-2.771740723E1
1.665104078E2,-5.160054016E1,7.954854584E1,-2.867066956E1
1.665602707E2,-5.498091888E1,7.358969116E1,-2.860484314E1
1.666101318E2,-5.726843262E1,6.590677643E1,-3.208355713E1
1.666599948E2,-5.842092133E1,5.881526947E1,-3.280715942E1
1.667098568E2,-5.747688293E1,4.986428070E1,-3.353244019E1
1.667597198E2,-5.697033691E1,4.054743958E1,-3.529470825E1
1.668095818E2,-5.386227417E1,3.298482895E1,-3.664398193E1
1.668594448E2,-4.920049286E1,2.629032898E1,-3.589538574E1
1.669093068E2,-4.456685257E1,2.127487183E1,-3.579048157E1
1.669591688E2,-4.010180283E1,1.826484680E1,-3.530465698E1
1.670090318E2,-3.640231323E1,1.810543060E1,-3.495890808E1
1.670588938E2,-3.394783783E1,2.014929962E1,-3.424319458E1
1.671087568E2,-3.303374100E1,2.512510300E1,-3.123518372E1
1.671586188E2,-3.290264130E1,3.101823425E1,-2.887797546E1
1.672084818E2,-3.397281647E1,3.780243683E1,-2.577804565E1
1.672583438E2,-3.421074677E1,4.462004852E1,-2.197785950E1
1.673082068E2,-3.446788025E1,5.046364975E1,-1.726182556E1
1.673580688E2,-3.418923569E1,5.633691406E1,-1.560063171E1
1.674079308E2,-3.375164032E1,6.151498413E1,-1.437110901E1
1.674577938E2,-3.059908485E1,6.429929352E1,-1.445913696E1
1.675076558E2,-2.827132034E1,6.691535187E1,-1.407582092E1
1.675575188E2,-2.596951675E1,6.944523621E1,-1.480747986E1
1.676073817E2,-2.387849426E1,7.141938782E1,-1.528739929E1
1.676572447E2,-2.424135017E1,7.221364594E1,-1.535809326E1
1.677071067E2,-2.617857552E1,7.152728271E1,-1.555827332E1
1.677569697E2,-2.956446648E1,6.892897797E1,-1.711169434E1
1.678068318E2,-3.267260361E1,6.604284668E1,-1.834729004E1
1.678566947E2,-3.361369324E1,6.282685852E1,-1.829545593E1
1.679065567E2,-3.514522552E1,5.847443390E1,-1.900154114E1
1.679564187E2,-3.660169983E1,5.538468933E1,-2.147802734E1
1.680062817E2,-3.730709076E1,5.304724884E1,-2.188053894E1
1.680561438E2,-3.827537537E1,5.113623428E1,-2.397764587E1
1.681060067E2,-4.166150665E1,4.788042450E1,-2.573526001E1
1.681558687E2,-4.417834854E1,4.391788483E1,-2.798283386E1
1.682057318E2,-4.694745636E1,3.952602386E1,-3.022196960E1
1.682555937E2,-4.865028381E1,3.548702240E1,-3.159794617E1
