"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.352326250E0,-5.669276044E-2,-9.080593288E-2,-2.801799681E-3
6.402189250E0,-6.531634182E-2,-7.269617170E-2,-4.383451305E-3
6.452051750E0,-5.772192497E-3,-5.073558167E-2,7.722358219E-3
6.501914750E0,-3.508440405E-2,-6.791979074E-2,4.184946883E-4
6.551777750E0,-2.823637053E-2,-4.981309175E-4,1.264634728E-2
6.601640750E0,-1.515252143E-2,-6.987759843E-4,-2.195114270E-2
6.651503750E0,-1.352213416E-2,-6.839127094E-2,-1.021139417E-2
6.701366750E0,-2.166674100E-2,1.805530861E-2,7.513396442E-3
6.751229750E0,-1.742792502E-2,5.042246357E-2,-2.952144295E-2
6.801092750E0,-2.315677516E-2,4.418533668E-2,-2.606836334E-2
6.850955750E0,-2.130094171E-2,9.897161275E-2,-7.125005126E-3
6.900818750E0,1.136630308E-4,1.203617603E-1,1.193112228E-2
6.950681750E0,-1.709885336E-2,1.686374545E-1,3.094435483E-2
7.000544750E0,-1.551922224E-2,2.130341083E-1,3.434503824E-2
7.050407750E0,-5.771667697E-3,1.684108377E-1,2.223944291E-2
7.100270750E0,1.089839265E-3,1.762187928E-1,1.715186238E-2
7.150133750E0,1.424718555E-2,3.837890178E-2,-1.502517145E-3
7.199996750E0,-1.005109027E-2,-3.735223785E-2,6.836494897E-3
7.249859750E0,2.868737653E-2,-1.736984774E-2,6.170929410E-4
7.299722750E0,-7.964372635E-3,2.266028523E-2,2.558519691E-2
7.349585750E0,8.125247434E-3,6.906618923E-2,1.244946942E-2
7.399448750E0,-1.042886917E-2,9.410751611E-2,8.607471362E-3
7.449312458E0,1.714762999E-3,1.488981098E-1,2.083891770E-3
7.499175458E0,-1.626437530E-2,1.503116041E-1,-1.123390067E-2
7.549038458E0,1.535958890E-2,2.127536386E-1,5.274961703E-3
7.598901458E0,-7.362485863E-3,2.174611390E-1,-3.806269728E-3
7.648764458E0,-4.194933921E-3,2.439735085E-1,2.356172726E-2
7.698627458E0,-1.071755216E-2,2.737932801E-1,2.744710818E-2
7.748490458E0,-4.041942302E-4,3.309756219E-1,3.779322281E-2
7.798353458E0,-8.699681610E-3,3.432846963E-1,3.079462796E-2
7.848216458E0,3.162021749E-4,3.816094398E-1,3.616946936E-2
7.898080458E0,1.951666363E-2,3.522222042E-1,1.734593511E-2
7.947943458E0,2.079211641E-3,3.885071278E-1,2.141432464E-2
7.997806458E0,1.973797940E-2,3.169499934E-1,3.059550002E-2
8.047669458E0,1.664738171E-2,3.031966388E-1,3.497267514E-2
8.097532458E0,2.885848098E-2,2.825706899E-1,4.423741624E-2
8.147395458E0,2.792586386E-2,2.960701585E-1,5.616860092E-2
8.197258458E0,5.685085431E-2,2.856290042E-1,2.833568677E-2
8.247121458E0,6.192564964E-2,1.689956039E-1,-1.299308427E-2
8.296984458E0,7.963072509E-2,1.263736784E-1,-4.968110472E-3
8.346847458E0,6.795623153E-2,1.008515526E-2,-1.814143732E-2
8.396710458E0,1.094721258E-1,-4.394426197E-2,2.022701502E-2
8.446573208E0,8.855312318E-2,7.551315241E-3,5.471917335E-3
8.496436208E0,1.309534311E-1,-2.803293243E-2,-5.991527066E-2
8.546299208E0,1.278372556E-1,-9.839391708E-2,-5.949768797E-2
8.596162208E0,1.326108724E-1,-2.118777633E-1,-2.287718840E-2
8.646025208E0,1.529210657E-1,-2.860218883E-1,1.776705496E-2
