"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.496683458E0,7.126679993E-1,-9.731862488E0,1.451980591E-1
7.546546458E0,5.783972168E-1,-9.807754669E0,3.421884155E-1
7.596409458E0,5.379812622E-1,-9.716145172E0,1.486408997E-1
7.646272458E0,6.114784241E-1,-9.771679688E0,1.962419128E-1
7.696135458E0,6.444099426E-1,-9.819430389E0,2.676434326E-1
7.745998458E0,6.286926270E-1,-9.717941437E0,2.468367004E-1
7.795861458E0,7.584727478E-1,-9.773925018E0,1.119671631E-1
7.845724458E0,4.757107544E-1,-9.786947937E0,3.637435913E-1
7.895588458E0,5.754034424E-1,-9.741741943E0,9.969268799E-2
7.945451458E0,4.128414917E-1,-9.793983307E0,1.743873596E-1
7.995314458E0,3.245251465E-1,-9.824070740E0,7.214996338E-2
8.045177458E0,3.165916443E-1,-9.794132996E0,3.029699707E-1
8.095040458E0,3.543132019E-1,-9.760902100E0,2.427951050E-1
8.144903458E0,3.707789612E-1,-9.785900116E0,3.685336304E-1
8.194766458E0,5.016069031E-1,-9.731413422E0,4.394860840E-1
8.244629458E0,9.714797974E-2,-9.756261749E0,1.353186035E-1
8.294492458E0,-3.650907898E-1,-9.879156189E0,3.532653809E-1
8.344355458E0,1.085243225E-1,-9.779014435E0,9.595046997E-2
8.394218458E0,1.278341675E-1,-9.818831635E0,5.049000549E-1
8.444081208E0,5.282514954E-1,-9.691446533E0,4.373904419E-1
8.493944208E0,5.622308350E-1,-9.542955322E0,5.773493958E-1
8.543807208E0,1.743873596E-1,-9.854756927E0,8.904981995E-1
8.593670208E0,-4.460723877E-2,-9.907447357E0,7.448510742E-1
8.643533208E0,-7.544311523E-2,-9.780960388E0,9.418414307E-1
8.693396208E0,4.234693909E-1,-9.696985016E0,6.694079590E-1
8.743259208E0,3.529660034E-1,-9.898166656E0,1.075812836E0
8.793122208E0,5.195695496E-1,-9.740394745E0,1.010548553E0
8.842985208E0,5.739065552E-1,-9.605076141E0,9.153465271E-1
8.892848208E0,8.637039185E-2,-9.875264282E0,1.070573730E0
8.942711208E0,6.556365967E-2,-9.766739960E0,9.500743103E-1
8.992574208E0,1.134640503E-1,-9.929152222E0,1.312620392E0
9.042437208E0,6.807843018E-1,-9.542655945E0,1.317709808E0
9.092300208E0,3.873944092E-1,-9.562564545E0,1.236428833E0
9.142163208E0,2.917433167E-1,-9.901160431E0,1.077908478E0
9.192026208E0,5.617817688E-1,-9.738598480E0,1.470242615E0
9.241889208E0,3.794609070E-1,-9.451944580E0,9.976753235E-1
9.291752208E0,1.971400452E-1,-9.968370667E0,1.302441559E0
9.341615208E0,3.764671326E-1,-9.621541901E0,9.051676941E-1
9.391478208E0,-1.025367737E-1,-9.834399261E0,9.774673462E-1
9.441340958E0,6.496490479E-2,-9.686955872E0,1.036444702E0
9.491203958E0,-2.874023438E-2,-9.565558319E0,7.020401001E-1
9.541066958E0,-2.639012146E-1,-9.988578644E0,1.121617584E0
9.590929958E0,-1.089733887E-1,-9.616901550E0,6.387217712E-1
9.640792958E0,9.789642334E-2,-9.786498871E0,8.512797546E-1
9.690655958E0,9.550140381E-2,-9.810898132E0,7.679031372E-1
9.740518958E0,-2.993774414E-1,-9.680668945E0,6.222560120E-1
9.790381958E0,2.318678284E-1,-9.953850861E0,1.276695099E0
9.840244958E0,1.681004333E-1,-9.478439484E0,4.495152283E-1
9.890107958E0,-2.507286072E-1,-9.776769104E0,1.052461395E0
9.939970958E0,-6.319857788E-1,-9.891430664E0,6.300398254E-1
9.989833958E0,-1.941462708E-1,-9.583820343E0,9.050180054E-1
1.003969696E1,-5.888754272E-1,-9.872719574E0,3.397933960E-1
1.008955996E1,-3.805087280E-1,-9.642198944E0,4.876858521E-1
1.013942296E1,-3.339555359E-1,-9.305698700E0,7.807763672E-1
1.018928596E1,-4.989125061E-1,-1.026220963E1,8.864566040E-1
1.023914896E1,-1.204395447E0,-9.697284393E0,4.450245667E-1
1.028901196E1,-1.883084106E-1,-9.702074432E0,9.734257507E-1
1.033887496E1,-1.990859985E-1,-9.765392761E0,6.231541443E-1
1.038873796E1,-7.484436035E-4,-9.853409729E0,9.243278503E-1
1.043860083E1,-3.035687256E-1,-9.790091400E0,8.891510010E-1
1.048846383E1,-1.181044006E-1,-9.903854828E0,1.120719452E0
1.053832683E1,5.658233643E-2,-9.574689331E0,6.219566345E-1
1.058818983E1,3.770658875E-1,-9.814191284E0,1.207239532E0
1.063805283E1,1.003363495E0,-9.922416229E0,8.692424011E-1
1.068791583E1,1.462159424E0,-9.539362793E0,2.662662964E0
1.073777883E1,1.299148407E0,-1.087159241E1,1.692380676E0
1.078764183E1,1.078357544E0,-1.000639160E1,2.618654480E0
1.083750483E1,1.972897339E0,-8.256530457E0,8.533753967E-1
1.088736783E1,7.045848083E-1,-8.414901123E0,-1.050964508E0
1.093723083E1,1.995500336E0,-7.486531677E0,6.625222778E-1
1.098709383E1,6.615043945E0,-8.291108551E0,8.008346558E-1
1.103695683E1,-2.821931763E0,-1.239991425E1,7.104825439E0
1.108681983E1,-2.092498627E0,-1.110375961E1,8.355624390E-1
1.113668283E1,3.275937653E0,-7.962990875E0,-1.842967529E0
1.118654583E1,1.186432800E0,-9.649084625E0,-3.622467041E-1
1.123640883E1,-1.546434174E0,-1.061592407E1,2.225871277E-1
1.128627183E1,7.381150818E-1,-9.305848389E0,-9.512718201E-1
1.133613483E1,-1.679507446E-1,-8.896749115E0,-1.626517639E0
1.138599783E1,-1.068029022E0,-1.199246155E1,-1.312321014E0
1.143586071E1,2.434836731E0,-9.341923370E0,-3.620970154E-1
1.148572371E1,1.671274567E0,-9.076974335E0,-1.609303436E0
1.153558671E1,-4.583468628E-1,-9.758656769E0,-3.906875610E-2
1.158544971E1,6.276448059E-1,-9.653275909E0,-9.505233765E-1
1.163531271E1,-4.640350342E-3,-9.718091125E0,-7.203021240E-1
1.168517571E1,6.077362061E-2,-9.439969482E0,-8.765771484E-1
1.173503871E1,3.426374817E-1,-1.030831375E1,-8.726852417E-2
1.178490171E1,1.298549652E0,-8.367599487E0,-1.660047913E0
1.183476471E1,2.567760315E0,-9.677974548E0,-8.761280823E-1
1.188462771E1,-2.401755524E0,-1.024409729E1,-1.194515991E-1
1.193449071E1,5.192701721E-1,-9.629475403E0,-1.324894867E0
1.198435371E1,3.761527863E0,-8.777896271E0,-1.528321838E0
1.203421671E1,-1.617686005E0,-1.001836670E1,-1.089135132E0
1.208407971E1,-2.560275879E0,-1.007195526E1,-2.748284912E-1
1.213394271E1,9.547146606E-1,-1.005578888E1,-1.632056122E0
1.218380471E1,6.948550415E-1,-9.849517822E0,-1.478026428E0
1.223366771E1,-4.737648010E-1,-9.814640350E0,-1.466201019E0
1.228353071E1,-3.595523071E-1,-9.536818085E0,-1.277593231E0
1.233339371E1,-1.863624573E-1,-9.948013000E0,-8.089178467E-1
1.238325671E1,1.167572021E0,-9.357041931E0,-2.226170654E0
1.243312112E1,-6.364764404E-1,-1.013482452E1,-1.623074799E0
1.248298413E1,-1.731000366E0,-9.704020386E0,1.522334290E-1
1.253284712E1,6.182144165E-1,-9.990823975E0,-1.982178040E0
1.258271012E1,-1.407073975E-2,-9.732760620E0,-3.613485718E-1
1.263257312E1,7.933502197E-3,-9.971813507E0,2.058219910E-1
1.268243613E1,5.477110291E-1,-9.314380646E0,-8.939410400E-1
1.273229912E1,4.766088867E-1,-9.535620575E0,-1.165925446E0
1.278216212E1,9.892927551E-1,-9.485624542E0,-7.839198303E-1
1.283202512E1,4.941224670E-1,-9.317224731E0,-1.372795258E0
1.288188813E1,-1.707499237E0,-9.790839844E0,2.107617188E-1
1.293175112E1,-3.754941559E0,-9.736053772E0,2.365081787E-1
1.298161412E1,-1.600172424E-1,-9.924811249E0,-1.168919220E0
1.303147712E1,-4.198768616E-1,-1.006836273E1,7.458988953E-1
1.308134013E1,-4.972659302E-1,-9.506281586E0,-8.165519714E-1
1.313120312E1,-1.463955688E-1,-9.855804749E0,2.972817993E-1
1.318106612E1,-1.468745728E0,-1.008288254E1,-2.335144043E-2
1.323092912E1,-1.485061798E0,-9.770332489E0,-1.168769531E0
1.328079212E1,-2.092648315E-1,-1.001582199E1,-2.097138977E-1
1.333065512E1,8.878038025E-1,-9.502539368E0,-5.393284607E-1
1.338051812E1,2.806663513E-1,-9.780661011E0,-2.637515259E-1
1.343038037E1,8.592132568E-1,-9.832303619E0,-3.350033569E-1
1.348024237E1,-5.200186157E-1,-9.277407532E0,-1.601669312E-2
1.353010537E1,-1.068328400E0,-9.843679962E0,-3.948788452E-1
1.357996837E1,7.702981567E-1,-9.668394470E0,-2.848576355E-1
