,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),mag_Magnetic field x (µT),mag_Magnetic field y (µT),mag_Magnetic field z (µT),lin_acc_Linear Acceleration x (m/s^2),lin_acc_Linear Acceleration y (m/s^2),lin_acc_Linear Acceleration z (m/s^2)
1970-01-01 00:03:45.400,-1.5699907243,-10.255787371,-1.0336993633,2.7485835549999997,1.21871662145,0.1510319859,-22.777400014999998,40.571100235,13.89579964,-1.17047899985,-2.535885811,-3.9939508440000004
1970-01-01 00:03:45.500,2.421087861,-2.21754843015,-2.566003203,1.5775894525000003,3.214430928,-0.262435249995,-21.685500145,41.004198075,5.233799815500001,3.3857747315,5.404434203999999,-6.830255747000001
1970-01-01 00:03:45.600,-2.98370025325,-5.8625651415375,6.7196441875,-1.26162862785,1.2556729019,-1.1516761481,-20.17879963,41.351900099999995,-7.5456998335000005,0.8521813751,6.0166625975,-1.2924463744999999
1970-01-01 00:03:45.700,-2.2055842285,-10.7010021195,8.0386877045,0.69590772685,0.2708343865,-0.20631366968499998,-18.635499955,41.266500475,-17.897399425,-3.3663845064999998,-5.52875805,6.28211689
1970-01-01 00:03:45.800,-1.6070794464999998,-9.76974535,-8.753394127,-2.4985943440000002,-2.8715165855,0.45538662375,-17.104399685,40.076999665,-24.23529911,-1.9566357134999999,-2.9958782194499998,-9.906266926
1970-01-01 00:03:45.900,4.525425911,-11.907582759,1.3030414879,-2.643441558,-0.3312319368,-0.5363238753000001,-17.11659908,40.24779892,-23.180000305,6.778738022,-2.9812378885000004,-1.53744453185
1970-01-01 00:03:46.000,-3.209971547,-7.137490988,1.3162020296999999,-1.398382068,-2.524860859,-0.43217441455000005,-19.24549961,41.101799015,-15.99419975,-2.4704713225,3.0980882644999994,3.013756752
1970-01-01 00:03:46.100,1.8728323577000001,-9.7876915915,0.38718867300000026,-1.7204512955000002,-0.57129487795,0.8909207583,-21.356100085,41.20549965,-6.4110997915,0.8984131219999999,-0.06285142895000001,1.7629370094999997
1970-01-01 00:03:46.200,3.7209888416599997,-13.80853081,4.5349972245000005,1.3266839085,0.29855160394999997,-0.5338805019999999,-22.50289917,41.052997590000004,5.5448999405,4.9704951645,-4.6079120635,7.108886718500001
1970-01-01 00:03:46.300,-1.9866410346999999,-17.339888575,-3.8851963134,3.9241592880000002,0.4828747511,-0.50051298735,-23.033599855,40.22339821,13.072299955,-0.8421150444999999,-7.9618811605,-2.8012878894999993
1970-01-01 00:03:46.400,-1.2671491803500001,-12.536147119,-0.8303094506,2.859986901,0.9407047761549999,0.11858072315499998,-22.8810997,40.125799175,12.54769945,-1.792125568,-3.89114236835,-2.0789745448
1970-01-01 00:03:46.500,3.0194431545,-2.7454649805,-1.6142579915000002,1.44786074755,3.3073561194999996,-0.59275092185,-21.76479912,40.35149956,5.258199811,4.3489959240000005,5.255270481,-6.0102689265
1970-01-01 00:03:46.600,-0.89611206975,-1.18220394095,1.1808578970000003,-1.78321588,2.342141151,-1.40815568,-20.282499315,40.137998585,-6.917400003,0.8819479346499999,7.3145685195,-6.369546055500001
1970-01-01 00:03:46.700,-7.370940684000001,-17.0765280135,10.228120327500001,0.024357497499999936,0.97055991,-0.5869478844,-18.45250034,39.619499205,-17.738799569999998,-6.566303313200001,-6.196209192,5.032216549
1970-01-01 00:03:46.800,-2.0883359315,-10.987093923500002,-4.520640135,-0.004810422649999979,-1.42487755395,-0.09300149234999999,-16.329699515,37.838298795,-24.72939968,-1.290382147,-1.6797749994999998,-6.6393070199999995
1970-01-01 00:03:46.900,3.6037404534999995,-13.686347484999999,-2.9249265195000005,-2.9873485565,-2.9152685404999996,0.46661096064999996,-15.975899695,37.014799115,-26.040899275,2.773337245,-4.288945675,-5.719997404500001
1970-01-01 00:03:47.000,-0.19576275349999994,-7.0260751245,1.0275677739,-2.4127702715000003,-0.77027840915,-0.9092461169000001,-17.915699959999998,37.917600635,-20.617999079999997,1.1495126485,2.242818594,-0.05175870650000014
1970-01-01 00:03:47.100,0.16689938319999997,-8.202745438000001,-0.7045367362499999,-1.256512821,-2.8436467645,0.24937838314999994,-20.666799545,38.301898955,-12.2060999865,-0.6946665721425,1.328780651,-0.06330060950000005
