,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),mag_Magnetic field x (µT),mag_Magnetic field y (µT),mag_Magnetic field z (µT),lin_acc_Linear Acceleration x (m/s^2),lin_acc_Linear Acceleration y (m/s^2),lin_acc_Linear Acceleration z (m/s^2)
1970-01-01 00:02:23.200,4.807928562500001,0.10588240599999987,-1.1330015065000003,-1.1451859476500001,2.507069826,0.8289197572499999,-6.1243999005,45.41449928,2.18989987645,6.4938645375,9.418787956,6.404344201
1970-01-01 00:02:23.300,2.302493572,1.2922738195,2.9297122955,2.5436443685,0.6631510556,-1.16236597325,0.10369998200000008,43.29169846,7.746999979000001,1.27994352595,11.2559800165,5.678992748500001
1970-01-01 00:02:23.400,20.76326942,-42.400069235000004,-1.342672823,3.1699918510000002,1.522842169,-6.0479986665,5.807199954500001,42.96839905,10.424900054999998,15.243375780000001,-28.409385206499998,-0.8160744904999999
1970-01-01 00:02:23.500,0.2267199606,-6.279215334,-1.8812072279999998,-0.4288910625000001,2.81883095185,-0.1950129865000001,2.19599992398,41.79109955,7.734799862,-5.4993960855,-4.109583853500001,-3.6154850125
1970-01-01 00:02:23.600,-5.516652583999999,2.925076127,-11.187193873,-2.362451792,-0.1663031574999998,1.5885846615,-5.758399725,41.90699959,2.2325999139999997,-10.4576325425,10.154808043500001,-14.378204345
1970-01-01 00:02:23.700,3.108126998,-2.7118158935000003,10.313214299999999,2.2095109225000003,-1.8638476135000002,-1.0249253512999998,-12.230499745,42.742700575,-2.684000015,-1.6045541761500002,10.774640561,19.152492520000003
1970-01-01 00:02:23.800,3.2062327875,-23.672343729999998,-5.5824551585,0.01488941900000007,-3.807563782,2.054966569,-17.128800390000002,42.462099075,-5.977999925500001,-5.8798029425,-15.3153593535,-11.118291854999999
1970-01-01 00:02:23.900,24.124736785,-20.792132853000002,1.1497516599999997,-3.3701207039999996,-2.6139681039500005,3.665465415,-13.8652997,42.974498745,-3.476999879,27.171825409999997,-14.788170815,28.483031275000002
1970-01-01 00:02:24.000,5.0007002355,1.9470098615000002,4.6833521125,-1.34592556019,1.601488829,0.8950439390999999,-6.319600104999999,42.395000455,2.1715999246999997,6.1430816649999995,11.508855105,11.3447098755
1970-01-01 00:02:24.100,4.9492543935,2.313410878,4.1854953770000005,2.9755896330000002,0.243498981,-1.55223926885,0.40259999049999995,40.699199675,7.179700135999999,3.4297292235,9.830852985500002,5.8716392520000005
