"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.180750050E0,-6.905200005E0,1.537199974E0,-4.950759888E1
9.230750050E0,-6.551399708E0,-1.305400014E0,-4.998339844E1
9.280750050E0,-6.392799854E0,-3.147599936E0,-5.031279755E1
9.330750050E0,-6.563600063E0,-3.781999826E0,-5.039819717E1
9.380750050E0,-7.063799858E0,-2.952399969E0,-5.017860031E1
9.430750050E0,-7.576200008E0,-8.173999786E-1,-4.970280075E1
9.480750050E0,-7.856800079E0,2.440000057E0,-4.911719894E1
9.530750050E0,-7.954400063E0,6.490399837E0,-4.779959869E1
9.580750050E0,-7.576200008E0,1.083360004E1,-4.700659943E1
9.630750050E0,-7.124799728E0,1.545739937E1,-4.585979843E1
9.680750050E0,-6.734399796E0,1.993479919E1,-4.432259750E1
9.730750050E0,-6.270800114E0,2.388759995E1,-4.293180084E1
9.780750050E0,-5.770599842E0,2.692539978E1,-4.180939865E1
9.830750050E0,-5.502200127E0,2.909700012E1,-4.089439774E1
9.880750050E0,-5.526599884E0,3.040239906E1,-4.024779892E1
9.930750050E0,-5.782799721E0,3.097579956E1,-3.986959839E1
9.980750050E0,-6.466000080E0,3.068299866E1,-3.988179779E1
1.003075005E1,-7.319999695E0,2.949959946E1,-4.035759735E1
1.008075005E1,-8.198399544E0,2.762080002E1,-4.121159744E1
1.013075005E1,-9.198800087E0,2.493680000E1,-4.207780075E1
1.018075005E1,-9.747799873E0,2.211859894E1,-4.321239853E1
1.023075005E1,-9.991799355E0,1.869039917E1,-4.452999878E1
1.028075005E1,-9.955200195E0,1.468879986E1,-4.589640045E1
1.033075005E1,-9.808799744E0,1.033339977E1,-4.749459839E1
1.038075005E1,-9.430600166E0,5.953599930E0,-4.839739990E1
1.043075005E1,-8.906000137E0,1.915399909E0,-4.917819977E1
1.048075005E1,-8.381400108E0,-1.500599980E0,-4.984919739E1
1.053075005E1,-8.003199577E0,-4.038199902E0,-5.031279755E1
1.058075005E1,-7.759199619E0,-5.453399658E0,-5.055680084E1
1.063075005E1,-7.844599724E0,-5.404599667E0,-5.049580002E1
1.068075005E1,-8.112999916E0,-3.891799927E0,-5.026399994E1
1.073075005E1,-8.356999397E0,-9.759999514E-1,-4.984919739E1
1.078075005E1,-8.479000092E0,2.842599869E0,-4.932460022E1
1.083075005E1,-8.344799995E0,7.332200050E0,-4.853160095E1
1.088075005E1,-8.149600029E0,1.211460018E1,-4.743359756E1
1.093075005E1,-7.905600071E0,1.694579887E1,-4.568899918E1
1.098075005E1,-7.600599766E0,2.113039970E1,-4.440800095E1
1.103075005E1,-7.161399841E0,2.441219902E1,-4.337099838E1
1.108075005E1,-6.917399883E0,2.679119873E1,-4.250479889E1
1.113075005E1,-6.819799900E0,2.821859932E1,-4.190699768E1
1.118075005E1,-6.953999996E0,2.884079933E1,-4.157759857E1
1.123075005E1,-7.502999783E0,2.840159988E1,-4.168740082E1
1.128075005E1,-8.210599899E0,2.694979858E1,-4.222419739E1
1.133075005E1,-8.954799652E0,2.458300018E1,-4.296839905E1
1.138075005E1,-9.259799957E0,2.170380020E1,-4.415179825E1
1.143075005E1,-9.296400070E0,1.848299980E1,-4.540839767E1
1.148075005E1,-8.832799911E0,1.483519936E1,-4.659180069E1
1.153075005E1,-8.418000221E0,1.087020016E1,-4.777519989E1
1.158075005E1,-7.966599941E0,6.624599934E0,-4.873899841E1
1.163075005E1,-7.283400059E0,2.696199894E0,-4.948320007E1
1.168075005E1,-6.453799725E0,-7.075999975E-1,-5.002000046E1
1.173075005E1,-5.782799721E0,-3.147599936E0,-5.027619934E1
1.178075005E1,-5.551000118E0,-4.526199818E0,-5.036159897E1
1.183075005E1,-5.611999989E0,-4.635999680E0,-5.020299911E1
1.188075005E1,-5.868199825E0,-3.440399885E0,-4.989799881E1
1.193075005E1,-5.977999687E0,-8.661999702E-1,-4.937339783E1
1.198075005E1,-5.709599972E0,2.818199873E0,-4.873899841E1
1.203075005E1,-5.270400047E0,7.185800076E0,-4.792160034E1
1.208075005E1,-4.697000027E0,1.200479984E1,-4.688459778E1
1.213075005E1,-4.086999893E0,1.664080048E1,-4.571339798E1
1.218075005E1,-3.306200027E0,2.095960045E1,-4.413959885E1
1.223075005E1,-2.635200024E0,2.435120010E1,-4.298059845E1
1.228075005E1,-2.086199999E0,2.696199989E1,-4.201679993E1
1.233075005E1,-1.768999934E0,2.845039940E1,-4.137019730E1
1.238075005E1,-1.720199943E0,2.895059967E1,-4.110179901E1
1.243075005E1,-2.061800003E0,2.849919891E1,-4.121159744E1
1.248075005E1,-2.635200024E0,2.716939926E1,-4.178499985E1
1.253075005E1,-3.208600044E0,2.515639877E1,-4.279759979E1
1.258075005E1,-3.733199835E0,2.222839928E1,-4.401760101E1
1.263075005E1,-4.099199772E0,1.872699928E1,-4.532299805E1
1.268075005E1,-3.977200031E0,1.421299934E1,-4.615259933E1
1.273075005E1,-4.099199772E0,9.735599518E0,-4.726279831E1
1.278075005E1,-4.294399738E0,5.477799892E0,-4.816559982E1
1.283075005E1,-4.440799713E0,1.732399940E0,-4.886100006E1
1.288075005E1,-4.574999809E0,-1.317600012E0,-4.934899902E1
1.293075005E1,-4.757999897E0,-3.379400015E0,-4.954420090E1
1.298075005E1,-5.062999725E0,-3.879599810E0,-4.954420090E1
1.303075005E1,-5.392399788E0,-2.976799965E0,-4.934899902E1
1.308075005E1,-5.660799980E0,-4.513999820E-1,-4.889759827E1
1.313075005E1,-5.746200085E0,3.184200048E0,-4.827539825E1
1.318075005E1,-5.733999729E0,7.539599895E0,-4.678699875E1
1.323075005E1,-5.368000031E0,1.230980015E1,-4.556699753E1
1.328075005E1,-5.014199734E0,1.703120041E1,-4.413959885E1
1.333075005E1,-4.587199688E0,2.113039970E1,-4.274879837E1
1.338075005E1,-4.196799755E0,2.457079887E1,-4.163859940E1
1.343075005E1,-4.050399780E0,2.685219955E1,-4.057719803E1
1.348075005E1,-4.172399998E0,2.812100029E1,-3.986959839E1
1.353075005E1,-4.550600052E0,2.834059906E1,-3.960120010E1
1.358075005E1,-5.355799675E0,2.746220016E1,-3.984519958E1
1.363075005E1,-6.307399750E0,2.564439964E1,-4.057719803E1
1.368075005E1,-7.027199745E0,2.296039963E1,-4.167519760E1
1.373075005E1,-7.661599636E0,1.980060005E1,-4.295619965E1
1.378075005E1,-7.734799862E0,1.625040054E1,-4.481060028E1
1.383075005E1,-7.637199879E0,1.196819973E1,-4.607939911E1
1.388075005E1,-7.454199791E0,7.539599895E0,-4.718959808E1
1.393075005E1,-7.295599937E0,3.464799881E0,-4.794599915E1
1.398075005E1,-7.112599850E0,3.050000072E-1,-4.903179932E1
1.403075005E1,-6.746599674E0,-1.903199911E0,-4.945879745E1
1.408075005E1,-6.526999950E0,-2.732800007E0,-4.961739731E1
1.413075005E1,-6.404999733E0,-2.281399965E0,-4.959299850E1
1.418075005E1,-6.441599846E0,-3.294000030E-1,-4.873899841E1
1.423075005E1,-6.343999863E0,2.988999844E0,-4.809239960E1
1.428075005E1,-6.075599670E0,7.344399929E0,-4.717739868E1
1.433075005E1,-5.599800110E0,1.232199955E1,-4.609159851E1
1.438075005E1,-5.111799717E0,1.723859978E1,-4.466419983E1
1.443075005E1,-4.672599792E0,2.167939949E1,-4.324900055E1
1.448075005E1,-4.245599747E0,2.518079948E1,-4.196799850E1
1.453075005E1,-4.013800144E0,2.763299942E1,-4.082119751E1
1.458075005E1,-3.818599939E0,2.918239975E1,-4.045520020E1
1.463075005E1,-4.184599876E0,2.960939980E1,-4.007699966E1
1.468075005E1,-5.001999855E0,2.902379990E1,-4.018679810E1
1.473075005E1,-6.002399921E0,2.743779945E1,-4.068700027E1
1.478075005E1,-6.892999649E0,2.480259895E1,-4.185820007E1
1.483075005E1,-7.637199879E0,2.136219978E1,-4.309040070E1
1.488075005E1,-8.039799690E0,1.727519989E1,-4.437139893E1
1.493075005E1,-7.893399715E0,1.276119995E1,-4.567679977E1
1.498075005E1,-7.673799992E0,8.210599899E0,-4.693339920E1
1.503075005E1,-7.417599678E0,3.842999935E0,-4.775079727E1
1.508075005E1,-7.002799988E0,2.439999878E-1,-4.844619751E1
1.513075005E1,-6.502599716E0,-2.317999840E0,-4.909280014E1
1.518075005E1,-6.051199913E0,-3.379400015E0,-4.953199768E1
1.523075005E1,-5.733999729E0,-2.976799965E0,-4.966619873E1
1.528075005E1,-5.526599884E0,-7.929999828E-1,-4.940999985E1
