"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.861578383E0,9.193251282E-2,7.837170362E-1,-5.384618640E-1
6.912385050E0,7.466080785E-1,-2.527380586E-1,-7.209524512E-1
6.963192654E0,1.016907930E0,-4.317162931E-1,-6.105418205E-1
7.014000935E0,9.061918855E-1,1.969982386E-1,-2.374668717E-1
7.064808435E0,7.061394453E-1,-4.356867969E-1,-8.322793990E-2
7.115615154E0,9.837695360E-1,-5.711421967E-1,-3.130592033E-2
7.166422706E0,7.826480269E-1,-3.153499067E-1,1.357607991E-1
7.217230987E0,9.506310225E-1,-2.594573796E-1,-1.018587798E-1
7.268038539E0,1.169008970E0,3.994941115E-1,1.879882365E-1
7.318845206E0,1.302631736E0,1.638597846E-1,-1.840177327E-1
7.369652758E0,1.256207347E0,3.494046330E-1,-4.401154518E-1
7.420461039E0,9.513946176E-1,4.424061179E-1,-6.281036735E-1
7.471268539E0,1.012784719E0,4.254551232E-1,-6.739172339E-1
7.522075258E0,1.044548869E0,5.070032477E-1,-6.516213417E-1
7.572882810E0,1.118614078E0,2.742704153E-1,-4.669927359E-1
7.623691091E0,1.250709772E0,1.120904684E-1,-5.772506595E-1
7.674498591E0,9.559759498E-1,-1.171299592E-1,-3.907895386E-1
7.725305258E0,3.976615667E-1,-2.916795611E-1,-1.885990947E-1
7.776112810E0,-1.634016447E-2,-1.974563748E-1,-1.371352077E-1
7.826921091E0,-5.146388412E-1,2.698417902E-1,-2.901524492E-2
7.877728591E0,-1.208866715E0,1.921114624E-1,9.223793447E-2
7.928535258E0,-1.869956136E0,-8.108997345E-2,4.408790171E-1
7.979342810E0,-1.942036152E0,6.001574174E-2,7.203416228E-1
8.030151091E0,-1.659213901E0,1.740914769E-2,9.005415440E-1
8.080958591E0,-1.736944199E0,-3.292466700E-1,9.087880254E-1
8.131765258E0,-1.880493283E0,-2.649549842E-1,5.835118294E-1
8.182572810E0,-1.632489324E0,-1.052184403E-1,5.879405141E-1
8.233381091E0,-1.370588541E0,-9.009997360E-3,2.315111160E-1
8.284188591E0,-1.168703556E0,-4.117110670E-1,2.086043358E-1
8.334995258E0,-6.835380793E-1,-4.036173224E-1,4.275930673E-2
8.385802758E0,2.134911120E-1,1.244601309E-1,6.872031838E-3
8.436611039E0,6.607840061E-1,-2.489202656E-2,-2.014268786E-1
8.487418539E0,7.895200849E-1,-2.678565085E-1,-2.443388999E-1
8.538225206E0,8.096780181E-1,-1.188097894E-1,-1.577513069E-1
8.589032758E0,1.006218195E0,2.808370292E-1,-2.761029601E-1
8.639840987E0,7.267554998E-1,-1.954711229E-2,-5.578562617E-1
8.690648487E0,6.441384554E-1,2.086043358E-1,-9.107732773E-1
8.741455154E0,8.324320912E-1,1.415638477E-1,-9.061918855E-1
8.792262654E0,1.021336675E0,2.342599183E-1,-7.168292403E-1
8.843070935E0,1.477486849E0,5.824428797E-1,-4.622586668E-1
