"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.307247742E2,-5.505885124E0,4.347160339E0,-3.557229996E0
1.307747742E2,6.206084728E0,7.485646725E0,2.814318275E1
1.308247742E2,2.930908680E0,-6.742375851E0,-1.150319576E1
1.308747742E2,-3.969094455E-1,-7.664210796E0,-4.208376884E0
1.309247742E2,3.354737282E0,-3.651536942E1,-8.462516785E0
1.309747742E2,1.577528191E1,-2.536362076E1,-7.176972389E0
1.310247742E2,2.941676331E1,-9.364012718E0,1.340519047E1
1.310747742E2,2.334796667E0,-6.141478539E0,1.630678749E1
1.311247742E2,-2.307279348E0,5.388636589E0,1.272263813E1
1.311747742E2,6.639484406E0,-1.238285661E0,4.049852192E-1
1.312247742E2,1.066002488E0,1.751845241E0,4.817350388E0
1.312747742E2,4.925326347E0,-2.634198666E0,1.542473316E0
1.313247742E2,2.160718918E1,-3.449463272E1,1.299332619E1
1.313747742E2,9.655936241E0,-4.816512680E1,3.619144261E-1
1.314247742E2,1.482353687E0,-1.551924992E1,-2.671287298E0
1.314747742E2,3.007478952E0,2.982354403E0,-2.484647274E0
1.315247742E2,-3.164507866E0,2.393420935E0,-6.530611038E0
1.315747742E2,-3.786941051E0,3.901796341E0,-4.476373196E0
1.316247742E2,7.293024540E0,3.339184046E0,3.932125473E1
1.316747742E2,-2.268994093E0,-2.622234583E0,-9.582955360E0
1.317247742E2,-2.393420935E0,-6.469594002E0,-3.121437073E0
1.317747742E2,5.540580750E0,-3.749702454E1,-1.050479031E1
1.318247742E2,2.091775703E1,-2.977120018E1,2.037787676E0
1.318747742E2,3.358745193E1,-1.054427242E1,5.309912872E1
1.319247742E2,2.157727718E0,-4.716851711E0,9.538688660E0
1.319747742E2,2.085943222E0,7.849654675E0,1.677607918E1
1.320247742E2,5.542973518E0,-1.920240223E-1,-1.215553880E0
1.320747742E2,1.018146038E0,3.942474365E0,8.248059273E0
1.321247742E2,5.423332691E0,-3.031407118E0,1.774577141E0
1.321747742E2,2.246441650E1,-3.464807129E1,1.205952740E1
1.322247742E2,1.026640511E1,-4.838048172E1,5.552545071E0
