Unnamed: 0,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),mag_Magnetic field x (µT),mag_Magnetic field y (µT),mag_Magnetic field z (µT),lin_acc_Linear Acceleration x (m/s^2),lin_acc_Linear Acceleration y (m/s^2),lin_acc_Linear Acceleration z (m/s^2),average_acc_Acceleration x (m/s^2),average_acc_Acceleration y (m/s^2),average_acc_Acceleration z (m/s^2),average_gyr_Gyroscope x (rad/s),average_gyr_Gyroscope y (rad/s),average_gyr_Gyroscope z (rad/s),average_mag_Magnetic field x (µT),average_mag_Magnetic field y (µT),average_mag_Magnetic field z (µT),average_lin_acc_Linear Acceleration x (m/s^2),average_lin_acc_Linear Acceleration y (m/s^2),average_lin_acc_Linear Acceleration z (m/s^2),activity
1970-01-01 00:03:54.700,2.2079770565,-2.5873889925,10.74287605,-0.0763559080699999,-0.1647760458049999,-0.05360184658,-13.53589964,-5.0202999115,-47.567798615,1.05724012835,0.5359615087499999,1.3506040572,1.12423781977585,-3.3512378483900003,8.7509860043,0.30459134578700053,0.08954257279300003,-0.10259179905549995,-14.907179690000001,0.6295199394400004,-45.904329110000006,0.1280249148489999,-0.2271040976470001,-0.4813603639010001,cycling
1970-01-01 00:03:54.800,1.23828572,-3.4588251115000004,9.7372927665,-0.116977248335,-0.0054976269599999,0.008246437645,-13.846999645,-4.8982999325000005,-47.555599215,-0.2194573879449999,-0.4887208936,0.625514984,0.9978220007758501,-2.9880522280900004,8.784859419250001,0.10247726105350052,0.06048915073200004,-0.07443174025599998,-14.480789662000001,-1.8275600193099997,-46.626568986,0.021981510494499902,-0.048850065457000075,-0.5174457311260001,cycling
1970-01-01 00:03:54.900,0.6684948355,-3.239881873,8.645567416999999,-0.26526042075,-0.1767639238599999,0.0610083714099999,-14.176400185,-4.3736999035,-47.61660004,-0.47785359625,0.11361300945,-0.6024467946200001,0.92479603958085,-2.99955274164,9.0174417976,-0.10954018197149948,-0.06590278185399996,-0.04805077365499999,-14.090389729,-3.5276299476600004,-47.129208947500004,-0.08444489840450009,-0.0028238117420000845,-0.32284569738800006,cycling
1970-01-01 00:03:55.000,1.312612772,-4.1232821945,9.243025303,-0.4145362228,-0.2327328101,-0.0691784545799999,-14.78639984,-3.6172999145,-47.5189991,-0.0646573901,-0.4204142093499999,0.427277565,1.1426774971008498,-3.3115020514,9.326759004949999,-0.17564912735299948,-0.09803334884399995,-0.02260898477299998,-13.927519702999998,-4.34380993841,-47.396389009,0.049082154005499916,-0.17015236612700008,0.094386267662,cycling
1970-01-01 00:03:55.100,1.832004845,-3.2135608195,8.243274212,-0.1785201132,-0.09231429176,-0.02947338112,-15.365899565,-2.4338998795,-47.311597825,0.15229368208,0.4438462256,-0.59321737285,1.19343524500085,-3.2934362292499997,9.1954229833,-0.09514709710799948,-0.060733488204999964,-0.0020005255449999783,-13.965949679,-4.4054199338,-47.508629037000006,0.003086686103499914,-0.08876525160200006,0.04100387096700001,cycling
1970-01-01 00:03:55.200,1.748256028,-4.016651869,9.7803635595,-0.3558185324,-0.128430638445,-0.02588465251,-16.049099445,-1.01870000345,-47.018798829999994,-0.0973384380349999,0.1599869728,0.9209680559,1.23197464275085,-3.26745914225,9.169550609549999,-0.09167290329799949,-0.07005654498949997,-0.015851486985999978,-14.191039658,-4.006479930895,-47.4982589735,-0.02657245997000008,0.008274161837999925,0.024817204513000013,cycling
1970-01-01 00:03:55.300,1.3867902755,-5.797809362500001,9.112466812,-0.5145624429,0.05741964467,0.0096208453199999,-16.805500029999997,0.7625000029000001,-46.58569908,-0.4659150839,-0.91549396515,0.5285682678,1.2244372539508501,-3.6210585237000004,9.265786933849999,-0.19237107187299948,-0.08019660916249996,-0.029412295808999983,-14.544229698499999,-3.3861099288050007,-47.4049289715,-0.07984827164500008,-0.14668780563200007,0.208028531123,cycling
1970-01-01 00:03:55.400,1.6465610265,-5.6291153430000005,8.4553380015,-0.02229592297,0.1050657276049999,-0.3569638579999999,-17.22029972,2.6534998415,-46.268499375000005,0.0270713568,-1.233448743575,0.28162002565,1.2988988987505,-3.7754703641500003,8.9941866395,-0.22203534179999948,-0.07498150076649997,-0.05850389539299998,-14.907179689500001,-2.658379964555,-47.271949006,-0.0657774448500001,-0.18768608566450007,0.06093304161799997,cycling
1970-01-01 00:03:55.500,0.51640105245,-3.5403306485000003,7.0989065170000005,0.1162136876999999,-0.18753010778,0.1832541723445,-17.403299335,4.0381999015000005,-46.164798735000005,-1.4554006460000002,0.9857716558,-1.4353899955,1.2387941858854998,-3.8570057989,8.8541167733,-0.18976733534999948,-0.09504783339549996,-0.036330140404049985,-15.271959686499997,-1.842809967755,-47.1231088645,-0.2615689397000001,-0.12225106953250006,-0.052758908242000024,cycling
1970-01-01 00:03:55.600,2.2283160685,-5.2090251445,9.013164761,-0.018019993324,-0.2748812586,0.26151897755,-17.616799354999998,5.1300997735,-46.08549881,0.0389693379499999,-0.3941593167999999,0.3609786034999999,1.478569967995,-4.08158713585,9.00722753995,-0.1846133117048995,-0.11004413310349996,-0.0011453388520499819,-15.680659676,-0.8777900025550002,-46.9693889625,-0.15050480370500013,-0.12130577560750004,0.18644773960799993,cycling
