"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.889318227E0,-2.879075766E0,-3.486105204E0,-7.247702479E-1
8.940117759E0,-2.071688414E0,-1.758782029E0,-5.635065958E-2
8.990916561E0,-1.509250879E0,3.248027563E0,2.115058601E-1
9.041716248E0,3.319038630E0,1.022558331E0,-1.223068953E0
9.092516613E0,3.481981993E0,2.109866381E0,1.756185889E-1
9.143316248E0,3.584299088E0,3.297658920E0,1.704416513E0
9.194114998E0,2.876632452E0,2.664057493E0,-1.740914769E-2
9.244914686E0,5.006198883E0,-2.809897423E0,-1.455801725E0
9.295715102E0,4.886777997E-1,2.325648308E0,-5.839699507E-1
9.346514686E0,-1.591257095E0,3.599722862E0,5.205945969E-1
9.397313540E0,-2.314194918E0,1.954711229E-1,9.356653094E-1
9.448113227E0,-1.706707239E0,-2.656574726E0,-9.388722181E-1
9.498913696E0,4.601665020E0,-2.163468361E0,-1.637986898E0
9.549713280E0,7.640172243E-1,-2.570292473E0,-1.518413544E0
9.600512186E0,-1.297897696E0,-3.283762217E0,2.272351742E0
9.651311873E0,-6.932199955E0,-1.677539229E0,3.854904413E0
9.702112342E0,-3.546273708E0,-4.374735355E0,1.171910524E0
9.752912030E0,-2.317859888E0,3.486410677E-1,5.787777901E-2
9.803710884E0,-1.108535051E0,5.919110179E-1,4.923428893E-1
9.854510623E0,1.983879209E0,-1.750077456E-1,-6.064186096E-1
9.905311092E0,2.802872658E0,8.229639530E-1,-6.430694461E-1
9.956110727E0,3.572082043E0,4.016320705E0,-5.978667736E-1
1.000690963E1,1.703958392E0,4.855777740E0,-3.541692495E0
1.005770942E1,4.394740582E0,-1.545138121E0,-3.007048368E0
1.010850989E1,1.023932695E0,1.392731816E-1,-7.719582319E-1
1.015930963E1,-1.301715493E0,1.351804972E0,2.281514555E-1
1.021010854E1,-1.338977218E0,-1.037982225E0,1.295454383E0
1.026090828E1,-9.732323885E-1,-2.564031482E-1,1.837428570E0
1.031170880E1,2.441709280E0,6.676560640E-1,-3.759764731E-1
1.036250849E1,3.837648034E-1,-4.950917244E0,-2.188207626E0
1.041330745E1,1.105022669E0,-1.798181653E0,3.707842827E-1
1.046410729E1,-4.928163052E0,-6.131379604E-1,4.220343590E0
1.051490781E1,-4.331365108E0,-3.280707836E0,2.634431601E0
1.056570760E1,-1.966470003E0,-5.948125124E-1,6.383354068E-1
1.061650651E1,-1.068524599E0,2.015795931E-2,9.596410394E-1
1.066730635E1,1.208103180E0,7.340856791E-1,7.635590620E-3
1.071810687E1,1.991209388E0,-3.454341292E-1,-1.591257155E-1
1.076890661E1,3.360728979E0,3.295979023E0,-1.079519868E0
1.081970562E1,2.191414595E0,2.978338480E0,-3.893234968E0
1.087050547E1,4.147653103E0,-2.283041626E-1,-3.616979361E0
1.092130604E1,1.659977436E0,1.395785958E-1,-1.236202121E0
1.097210578E1,-1.430909634E-1,-1.684716702E0,2.754921019E-1
1.102290484E1,-1.405406833E0,-1.524369359E0,5.928272605E-1
1.107370469E1,-1.626991630E0,-1.140757278E-1,3.057748556E0
1.112450531E1,-3.344388679E-2,1.998386860E0,-1.721062213E-1
1.117530510E1,1.477181435E0,-6.749862432E-1,-1.869039893E0
1.122610411E1,-1.681357026E-1,1.032484531E0,2.015032291E0
1.127690396E1,-3.487479687E0,2.227454424E0,1.999303102E0
1.132770448E1,-6.933574677E0,-2.254026383E-1,2.212946892E0
1.137850427E1,-1.781994224E0,-2.482635975E0,9.729269743E-1
1.142930333E1,1.296523362E-1,-1.764585018E0,1.571404636E-1
1.148010323E1,-1.033859015E0,1.221694469E0,-1.812689304E-1
1.153090385E1,2.083905458E0,6.612421870E-1,-1.065775752E0
1.158170364E1,3.187401056E0,1.340504289E0,1.145338640E-2
1.163250276E1,2.967801332E0,3.078975677E0,3.226800561E-1
1.168330265E1,2.591977596E0,3.750907660E0,9.956810623E-2
1.173410333E1,4.377026081E0,-4.666872919E-1,-1.826280594E0
1.178490312E1,9.199360013E-1,-2.367033064E-2,-1.160151601E0
