"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.795085573E2,-8.006663322E0,-2.440660954E0,-5.587055206E0
1.795585573E2,5.073656559E0,-3.035142899E1,-6.135238171E0
1.796085573E2,2.020265007E1,-1.850904274E1,-8.109390259E0
1.796585573E2,1.061898232E1,1.683478355E0,8.331716061E-1
1.797085573E2,-5.372355461E0,5.214537621E0,7.502391815E0
1.797585573E2,7.022377014E0,7.012351990E0,7.621617794E0
1.798085573E2,2.682543516E0,9.947502136E0,4.052788258E0
1.798585573E2,-1.555719495E0,1.093684387E1,5.011133194E0
1.799085573E2,1.164707279E1,-3.374157906E0,-2.767313957E0
1.799585573E2,1.579173183E1,-4.178265381E1,4.869029522E-1
1.800085573E2,-4.099577904E0,-2.300113487E1,-7.840540409E-1
1.800585573E2,-4.914163589E0,8.213136673E0,-5.812491417E0
1.801085573E2,-5.215405464E0,1.231398201E1,-6.990574837E0
1.801585573E2,-7.385345459E0,1.205265808E1,-6.910476685E0
1.802085573E2,-4.617022514E0,1.229553986E1,-6.537043571E0
1.802585573E2,4.791467667E0,-4.766702652E0,2.385174179E1
1.803085573E2,-5.617241859E0,5.541138172E0,-5.209881783E0
1.803585573E2,-7.292498112E0,-3.227506638E1,-1.232766438E1
1.804085573E2,1.541747665E1,-2.595730209E1,-2.853798866E0
1.804585573E2,2.586570358E1,-6.107975006E0,8.135669708E1
1.805085573E2,-3.707498312E-1,1.323315620E0,6.599868774E0
1.805585573E2,2.780525923E0,1.585064030E1,2.509241676E1
1.806085573E2,3.260324955E0,7.111568451E0,1.814527512E0
1.806585573E2,-1.292263865E0,1.216179276E1,1.090013027E1
1.807085573E2,6.027284145E0,1.814034939E0,-1.346012712E0
1.807585573E2,1.475360394E1,-3.157658577E1,5.744209290E0
1.808085573E2,-2.439875603E-1,-2.822881317E1,-1.226866245E-1
1.808585573E2,-4.448137283E0,1.683585167E0,-8.416500092E0
1.809085573E2,-2.467802525E0,1.119561386E1,-6.714483261E0
1.809585573E2,-8.628675461E0,1.099392700E1,-1.247297096E1
1.810085573E2,-5.472814560E0,1.131634998E1,-5.883817673E0
1.810585573E2,2.246900082E0,-3.147247791E0,2.519406891E1
1.811085573E2,-8.526822090E0,7.099978924E0,-4.107590199E0
1.811585573E2,-1.336958313E1,-2.434606361E1,-1.420947933E1
1.812085573E2,1.282618332E1,-2.437071609E1,1.239440918E0
1.812585573E2,2.937816811E1,-2.198687363E1,-1.004129410E1
1.813085573E2,5.432968616E0,1.043391228E0,8.053420067E0
1.813585573E2,-1.025177193E1,1.344322205E1,1.553007698E1
1.814085573E2,6.865768433E0,6.101995468E0,3.305503130E0
1.814585573E2,2.939371586E0,1.185798645E1,5.618037224E0
1.815085573E2,1.635425687E0,8.300721169E0,3.897522449E0
1.815585573E2,1.654656219E1,-1.450863934E1,3.437198400E0
1.816085573E2,9.582555771E0,-4.889611816E1,-8.780226707E0
1.816585573E2,-6.963162899E0,-9.907137871E0,-5.826393127E0
1.817085573E2,-4.041030884E0,1.129937744E1,-7.339372158E0
1.817585573E2,-7.764169693E0,1.107711983E1,-1.076025581E1
1.818085573E2,-5.964664936E0,1.421431637E1,-6.185196877E0
1.818585573E2,4.333142757E0,7.111305237E0,6.285124969E1
1.819085573E2,-5.261861801E0,7.231568336E0,-1.244479179E1
1.819585573E2,-8.692195892E0,4.178872108E-1,-1.010257435E1
1.820085573E2,2.408387184E0,-3.306349945E1,-1.197754765E1
1.820585573E2,1.788269424E1,-2.103852844E1,2.101529837E0
1.821085573E2,2.320010567E1,5.164308548E-1,5.673538208E1
1.821585573E2,-1.293916225E0,2.565335274E0,7.431724548E0
1.822085573E2,6.937629223E0,1.481009007E1,1.528381729E1
1.822585573E2,3.740534306E0,9.533742905E0,6.284050941E-1
1.823085573E2,-1.881444573E0,1.044805336E1,7.764122486E0
1.823585573E2,9.008707047E0,-2.729266167E0,2.533852339E0
1.824085573E2,1.423864365E1,-4.768483353E1,-6.312026978E0
1.824585573E2,-3.605065584E0,-2.041413116E1,-2.645976067E0
1.825085573E2,-5.190500259E0,4.398643494E0,-1.061623478E1
1.825585573E2,-5.905152321E0,9.978374481E0,-9.052745819E0
1.826085573E2,-7.156675339E0,1.356026554E1,-1.149375153E1
1.826585573E2,-4.272239685E0,1.180288506E1,-7.699529648E0
1.827085573E2,1.771600246E0,1.576152325E0,-6.354737282E-1
1.827585573E2,-8.018877983E0,7.560133934E-1,-4.653928757E0
1.828085573E2,-6.686158657E0,-3.143621635E1,-1.207704926E1
1.828585573E2,1.361708927E1,-2.162188721E1,-9.369868040E-2
1.829085573E2,2.716969299E1,-1.104487991E1,8.098081207E1
1.829585573E2,1.233707786E0,1.275250912E0,7.937139988E0
1.830085573E2,3.120068073E0,1.727932930E1,2.025409317E1
