"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.591538749E0,-4.911975384E0,1.754658818E-1,9.300149679E-1
5.642339270E0,-1.568655729E0,-1.702278614E0,4.613423944E-1
5.693140728E0,-2.681619525E-1,-7.353073955E-1,1.420525312E0
5.743942916E0,-5.862606764E-1,9.804098308E-2,4.104893506E-1
5.794744322E0,2.008924007E0,4.740174711E-1,-1.964637518E0
5.845544843E0,2.459729195E0,2.381540775E0,-2.635805905E-1
5.896346301E0,4.179874897E0,5.067741394E0,3.512371797E-3
5.947148541E0,3.241155624E0,-2.847464561E0,-1.312405348E0
5.997949947E0,2.756142855E0,1.027292371E0,-2.582204103E0
6.048750520E0,3.607053161E-1,3.512371797E-3,-2.644968629E-1
6.099551978E0,-1.698613524E0,-1.150988936E0,1.227192163E0
6.150354166E0,-2.691545725E0,-4.088095427E-1,2.012283564E0
6.201155624E0,2.336948872E0,-2.086348772E0,-2.024958730E-1
6.251956197E0,4.507289410E0,-1.395022392E0,-2.312362194E0
6.302757708E0,-2.780424118E0,-3.232450962E0,5.233433843E-1
6.353559895E0,-3.119902372E0,-4.227826595E0,5.157841682E0
6.404361353E0,-6.347619057E0,-1.325996637E0,2.653215170E0
6.455161978E0,-1.113421798E0,9.588775039E-1,3.506263196E-1
6.505963437E0,-2.089097738E0,2.052752256E0,8.926005363E-1
6.556765676E0,9.930849075E-1,-7.727217674E-2,1.162289619E0
6.607567135E0,2.241809368E0,6.783458591E-1,-5.399889946E-1
6.658367760E0,3.355689526E0,-1.647149682E0,-7.293516397E-1
6.709169270E0,3.375694752E0,1.827960372E0,-1.770082593E0
6.759971510E0,2.322135925E0,1.897444248E0,-3.576816082E0
6.810772968E0,2.462019920E0,-2.707580328E-1,-2.077338934E0
6.861573593E0,-9.315420873E-3,3.636068404E-1,-1.217876673E0
6.912375103E0,-1.621646762E0,-5.818320066E-2,4.239279926E-1
6.963177343E0,-1.779703498E0,-5.989357233E-1,2.339239597E0
7.013978853E0,-3.826957941E-1,-5.315898061E-1,1.541625738E0
7.064779478E0,6.247592926E0,2.147433519E0,-1.959445238E0
7.115580989E0,-2.693378210E0,-4.240348816E0,-9.739959836E-1
7.166383228E0,-4.726430774E-1,-3.375083923E0,2.408417940E0
7.217184739E0,-4.010517597E0,4.203545570E0,3.578648567E0
7.267985364E0,-5.636287689E0,-4.389090061E0,1.360051394E0
7.318786926E0,-1.809635043E0,1.232537031E0,2.550287247E-1
7.369589218E0,-6.384881139E-1,-8.733588457E-1,1.183974743E0
7.420390676E0,1.234522343E0,1.996248841E0,-3.335226178E-1
7.471191301E0,1.911493778E0,-1.808718681E0,-6.262711287E-1
7.521992864E0,3.885904789E0,2.730487347E0,-7.012526393E-1
7.572795156E0,2.169576645E0,3.933092833E0,-4.488200188E0
7.623596666E0,3.499391317E0,1.786728203E-2,-2.601140261E0
7.674397291E0,1.758323789E0,5.415160656E-1,-1.071426034E0
7.725198853E0,-3.988832533E-1,3.061871827E-1,-1.151447073E-1
7.776001145E0,-1.366923451E0,-6.178719997E-1,1.739998460E0
7.826802656E0,-1.036913276E0,-4.092676565E-2,2.194621563E0
7.877603333E0,5.575508475E-1,4.097257853E-1,2.594573796E-1
7.928404895E0,4.502097130E0,-2.074589968E0,-2.345042706E0
7.979207187E0,-1.557202339E0,-3.675162554E0,-1.258345395E-1
8.030008697E0,-8.493831158E-1,-3.312319219E-1,4.036631584E0
8.080809374E0,-9.238301277E0,8.938222528E-1,2.861972094E0
8.131610937E0,-5.464028716E-1,-3.883308649E0,-9.193251282E-2
8.182413228E0,-2.856016397E0,1.664711475E0,1.589424610E0
8.233214739E0,5.572454333E-1,-9.961391687E-1,1.139077425E0
8.284015416E0,1.609582543E0,2.170951128E0,-3.559712470E-1
8.334817031E0,2.288539171E0,-2.235090017E0,-2.901524492E-2
8.385619322E0,4.037089348E0,2.776300907E0,-1.438698053E0
8.436420833E0,2.311140537E0,3.361797810E0,-5.723944187E0
8.487221562E0,3.504888773E0,-1.271936655E0,-2.752783060E0
8.538023124E0,5.694623590E-1,7.081246972E-1,-8.667922616E-1
8.588825468E0,-1.349056125E0,2.474236727E0,3.016058207E-1
8.639626978E0,-1.966775417E0,1.330119967E-1,1.951962471E0
8.690427708E0,-2.216001034E0,-1.502684206E-1,1.694643021E0
8.741229270E0,3.218706846E0,2.571361542E0,-6.294780970E-1
8.792031614E0,2.588007212E0,-2.908091068E0,-1.868734479E0
8.842833176E0,-5.453338623E-1,-4.848752975E0,-6.215370819E-2
8.893633853E0,-1.770846248E0,-8.499939442E-1,4.514466763E0
8.944435468E0,-9.604198456E0,-3.264978528E-1,2.812340736E0
8.995237812E0,8.478559852E-1,-4.763844967E0,1.168245375E-1
9.046039374E0,-2.752783060E0,2.373752356E0,1.586064935E0
9.096840103E0,4.524851143E-1,9.736905098E-1,7.548545003E-1
9.147641718E0,1.604695797E0,5.615213513E-1,-3.145863488E-2
9.198444062E0,3.961191654E0,-1.188097894E-1,-7.192726731E-1
9.249245624E0,3.489617586E0,2.340919495E0,-2.739039183E0
9.300046353E0,2.891598225E0,4.580743790E0,-5.353465557E0
9.350847968E0,3.563988447E0,-2.190498352E0,-2.275864124E0
9.401650312E0,-5.627430081E-1,1.029430389E0,-5.115845799E-1
9.452451874E0,-1.901109338E0,1.529561520E0,1.119377613E0
9.503252656E0,-2.395590305E0,-1.469851255E0,2.539292097E0
9.554054270E0,-8.254073858E-1,-2.013047218E0,1.499019146E0
9.604856614E0,4.038616657E0,3.046906233E0,-1.337908268E0
9.655658176E0,9.663603902E-1,-5.019179344E0,-9.570449591E-1
9.706458958E0,6.459710002E-2,-5.346593380E0,1.484358907E-1
9.757260572E0,-2.442014694E0,-9.181034565E-1,4.900216579E0
9.808062968E0,-8.002404213E0,3.863608837E-2,4.052513599E0
9.858864531E0,-4.472928941E-1,-1.338213682E0,-2.153236605E-2
9.909665312E0,-2.090319395E0,2.110935450E0,1.450456858E0
9.960466926E0,8.351809382E-1,1.214364409E0,-1.718007922E-1
1.001126932E1,1.786422849E0,3.382566571E-1,-1.826433241E-1
1.006207088E1,4.141086102E0,4.503471553E-1,2.516690791E-1
1.011287167E1,3.916752577E0,2.340003252E0,-2.802261829E0
1.016367328E1,3.031482220E0,2.775231838E0,-4.888916016E0
1.021447474E1,3.254136086E0,-2.250208616E0,-1.912562728E0
1.026527635E1,-1.057682037E0,2.204089642E0,1.611109674E-1
1.031607708E1,-2.071535826E0,3.008728266E0,1.131747246E0
1.036687875E1,-2.413915634E0,-4.715740979E-1,2.247917891E0
1.041768114E1,-1.368755937E0,-5.456393361E-1,1.351346850E0
1.046848276E1,4.207363129E0,1.586370349E0,-1.597976446E0
1.051928348E1,1.137550354E0,-5.562069893E0,-1.710219622E0
1.057008515E1,1.112963676E0,-2.937106371E0,1.333784938E0
1.062088755E1,-4.522713184E0,-1.296981454E0,5.989662647E0
1.067168916E1,-5.748989105E0,-5.557488441E0,3.275821209E0
1.072248994E1,-1.128692985E0,1.488634825E0,2.655658424E-1
1.077329161E1,-2.817227602E0,2.471029758E0,1.674485087E0
1.082409401E1,9.507837296E-1,1.844453335E0,-2.195995897E-1
1.087489557E1,2.171714783E0,-5.082249045E-1,-1.104869962E0
1.092569635E1,4.042434216E0,2.353594542E0,-7.351546884E-1
1.097649802E1,3.093636036E0,3.330339193E0,-3.303614616E0
1.102730041E1,3.566737175E0,2.828986406E0,-4.502097130E0
1.107810203E1,3.202366829E0,-2.241962194E0,-2.224400282E0
1.112890281E1,-1.526965380E0,2.457896709E0,3.689517379E-1
1.117970448E1,-1.902178407E0,2.086654186E0,1.573695302E0
1.123050687E1,-1.775122166E0,-1.913784504E0,2.098565817E0
1.128130848E1,-8.660287261E-1,-2.592130423E0,7.595885396E-1
1.133210932E1,3.478622437E0,4.145209312E0,-1.493521571E0
1.138291098E1,2.253110170E0,-6.374343872E0,-4.844018817E-1
1.143371338E1,-1.225970507E0,-2.334047318E0,6.927008033E-1
1.148451500E1,-7.165696621E0,2.547233105E-1,5.057357311E0
1.153531578E1,-2.994220495E0,-5.276193142E0,2.145448208E0
1.158611750E1,-2.318318129E0,1.337602735E0,1.614469290E0
1.163691989E1,-2.796153426E-1,-1.406475753E-1,1.423732281E0
1.168772151E1,1.009883285E0,2.562351465E0,-7.918107510E-1
1.173852234E1,2.257996798E0,-9.605573416E-1,-4.072824121E-1
1.178932401E1,4.231949806E0,3.279333591E0,-1.045923233E0
1.184012645E1,2.562809706E0,2.445221663E0,-5.933617592E0
1.189092807E1,4.787668228E0,-1.824753523E0,-3.942102671E0
1.194172885E1,5.551074743E-1,2.345958948E0,-5.372401476E-1
1.199253057E1,-2.087570429E0,5.765176296E0,8.842014074E-1
1.204333302E1,-2.016559601E0,1.938676476E0,1.469698548E0
1.209413463E1,-2.820129156E0,-3.255052328E0,2.667875290E-1
1.214493547E1,1.690825224E0,-2.565558553E-1,-1.332868695E0
1.219573718E1,1.727628708E0,-7.559234649E-2,-6.409314871E-1
1.224653963E1,1.621341348E0,-6.183301449E0,-1.761683464E0
1.229734130E1,-1.731141090E0,-5.070948601E0,3.620186329E0
1.234814213E1,-8.232541084E0,1.568350345E-1,6.567677021E0
1.239894380E1,3.035911024E-1,-2.687880754E0,1.003316641E0
1.244974630E1,-1.528950691E0,6.517740488E-1,1.693879485E0
1.250054796E1,1.814216375E-1,1.075702071E0,6.928535104E-1
1.255134875E1,1.833763480E0,-4.637857676E-1,-8.466343284E-1
1.260215052E1,3.594988823E0,1.102121115E0,-2.593046725E-1
1.265295296E1,3.953098059E0,1.837428570E0,-2.090166569E0
1.270375463E1,3.125858068E0,3.899343491E0,-6.111068726E0
1.275455547E1,3.938132286E0,-2.748507261E0,-3.249402046E0
1.280535718E1,-8.298360109E-1,2.831124306E0,-8.664868474E-1
1.285615968E1,-2.425979853E0,3.354467630E0,1.076160192E0
1.290696135E1,-2.493631124E0,-1.980061412E0,1.898055196E0
1.295776218E1,-2.291135311E0,-3.402419329E0,9.329164624E-1
1.300856395E1,2.699792147E0,7.446380615E0,-1.265217423E0
1.305936645E1,7.882983685E-1,-6.604633331E0,1.018587798E-1
1.311016812E1,1.579803705E0,-3.930496693E0,-2.133689404E0
1.316096901E1,-1.502531528E0,-2.230814219E0,4.517673492E0
1.321177073E1,-8.515058517E0,-7.556180358E-1,5.308109760E0
1.326257322E1,-1.265980899E-1,-1.646386027E0,1.006065488E0
1.331337494E1,-2.078102350E0,1.253153205E0,2.386274815E0
1.336417578E1,7.589777559E-2,-4.941754341E-1,8.289197087E-1
1.341497755E1,9.755230546E-1,3.562003136E0,-7.243121266E-1
1.346578005E1,2.165911674E0,-1.835595965E0,1.055238619E-1
1.351658172E1,4.436278343E0,2.624352455E0,-1.252694964E0
1.356738260E1,2.278460264E0,4.447578907E0,-5.252217293E0
1.361818437E1,5.149289608E0,-8.411366940E-1,-2.766069174E0
1.366898687E1,1.557355046E0,5.117372870E-1,-1.321109891E0
1.371978859E1,-1.821393847E0,3.767553091E0,3.695625812E-2
1.377058948E1,-1.866291046E0,1.922641695E-1,1.022558331E0
1.382139125E1,-2.780424118E0,-2.703915358E0,5.790832043E-1
1.387219375E1,3.840702176E-1,8.383878320E-2,-1.216655016E0
1.392299547E1,2.399713516E0,2.962151051E0,-8.394568563E-1
1.397379635E1,2.371461868E0,-4.995050907E0,-7.133168578E-1
1.402459812E1,-1.592631459E0,-3.518480301E0,1.105175376E0
1.407540062E1,-4.614492893E0,-1.432894945E0,5.811295509E0
1.412620239E1,-5.670342445E0,-1.824295282E0,2.924736738E0
1.417700328E1,-1.760614514E0,-1.986780763E0,6.070294380E-1
1.422780505E1,-1.275754452E0,5.964923501E-1,1.982962966E0
1.427860755E1,9.747595191E-1,7.733326554E-1,-7.771504521E-1
1.432940927E1,1.938371062E0,-7.944068313E-1,-6.881194115E-1
1.438021015E1,4.438721657E0,1.734500766E0,-7.884510756E-1
1.443101198E1,3.305752754E0,4.088858604E0,-4.366947174E0
1.448181448E1,5.342775345E0,-1.298050396E-2,-3.559254169E0
1.453261625E1,2.693531036E0,-1.343863964E0,-1.738776684E0
1.458341713E1,-1.566212416E0,3.475262880E0,5.683933496E-1
1.463421890E1,-1.962652206E0,3.686157703E0,1.360356808E0
1.468502145E1,-2.085432529E0,-6.668924689E-1,1.191304922E0
1.473582317E1,-1.499935389E0,-4.125814915E0,-9.405520558E-1
1.478662411E1,2.913283348E0,7.802199364E0,-2.059166193E0
1.483742588E1,1.762599707E0,-7.647807598E0,-7.870767117E-1
1.488822843E1,1.872399569E0,-5.462654114E0,1.639666796E0
1.493903020E1,-5.316509247E0,3.104325771E0,6.081137180E0
1.498983109E1,-5.244734764E0,-6.810794353E0,1.903400064E0
1.504063291E1,-2.280750990E0,5.175403357E-1,9.300149679E-1
1.509143541E1,-1.418387294E0,5.192201734E-1,2.041146040E0
1.514223718E1,9.811733961E-1,1.316681266E0,-5.302154422E-1
1.519303812E1,2.019919157E0,-8.451071978E-1,-9.588775039E-1
1.524383989E1,4.113140106E0,1.951656938E0,1.241547018E-1
1.529464244E1,3.679132938E0,2.143768549E0,-2.222720385E0
1.534544422E1,3.689212084E0,3.749533176E0,-4.906477928E0
1.539624515E1,3.820696831E0,-3.262535095E0,-2.737053871E0
1.544704698E1,-1.332105160E0,4.568831921E0,2.124221325E-1
1.549784948E1,-1.622410297E0,5.755555630E0,1.473058224E0
1.554865125E1,-2.100551128E0,6.270347238E-1,1.099525020E-2
1.559945218E1,-3.336753130E0,-3.380581379E0,-1.553689957E0
1.565025401E1,2.401546001E0,1.633710980E0,-2.296174765E0
1.570105656E1,2.004037142E0,-3.438917398E0,-1.487413049E-1
1.575185833E1,5.888567567E-1,-4.889832497E0,5.654918551E-1
1.580265927E1,-1.439614296E0,-6.325781345E0,5.353465557E0
1.585346109E1,-8.887827873E0,2.616411448E0,4.731775761E0
1.590426364E1,6.458182931E-1,-5.618725777E0,7.064448595E-1
1.595506541E1,-2.346264362E0,2.511345863E0,2.485384703E0
1.600586635E1,1.476723194E0,2.206685692E-1,-4.793623984E-1
1.605666817E1,7.890619636E-1,-2.341072112E-1,-7.227849960E-1
1.610747073E1,3.356605768E0,5.322006941E-1,-5.850389600E-1
1.615827250E1,4.604872227E0,1.606528282E0,-9.680401683E-1
1.620907343E1,3.197021723E0,2.186069727E0,-6.592416286E0
1.625987531E1,3.476942539E0,-1.985253533E-3,-4.392449856E0
1.631067786E1,6.587987542E-1,1.566975951E0,-8.246437907E-1
1.636147963E1,-1.726254344E0,5.678588867E0,5.050179958E-1
1.641228057E1,-2.177670479E0,2.244558334E0,1.726101637E0
1.646308239E1,-3.113793850E0,-3.225273609E0,-1.557660550E-1
1.651388500E1,-1.075396657E0,-3.458464384E0,-1.135565042E0
1.656468677E1,2.595337391E0,8.922951221E-1,-1.387539506E0
1.661548770E1,2.629239321E0,-6.299820423E0,-1.185043693E0
1.666628953E1,-8.231166750E-2,-6.651362896E0,3.862234592E0
1.671709213E1,-5.995465755E0,4.715588093E0,6.291115761E0
1.676789390E1,-1.835901380E0,-5.732648849E0,2.774010181E0
1.681869489E1,-2.914046764E0,4.306931496E0,1.835901380E0
1.686949672E1,2.043284029E-1,-5.292991400E-1,6.468872428E-1
1.692029927E1,4.410317242E-1,1.951656938E0,-1.057834744E0
1.697110109E1,2.702693701E0,-1.847812980E-1,-9.086353183E-1
1.702190203E1,4.021818161E0,1.880493283E0,-5.741963983E-1
1.707270390E1,2.739191771E0,2.219513416E0,-4.296088696E0
1.712350645E1,4.151623249E0,7.959339619E-1,-5.220606327E0
1.717430828E1,1.509250879E0,-9.746068120E-1,-1.806428075E0
1.722510922E1,-1.775427580E0,4.854097843E0,4.482091665E-1
1.727591109E1,-1.311641812E0,3.393561840E0,1.720756769E0
1.732671364E1,-1.561020136E0,1.792836636E-1,1.599656224E0
1.737751547E1,-1.487871170E0,-4.632359982E0,-9.590301663E-2
