"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.336137421E2,5.486115456E0,1.521656036E1,2.399060440E1
1.336637421E2,4.363898277E0,9.352188110E0,1.246023655E0
1.337137421E2,-2.843776226E0,1.128572083E1,1.093717003E1
1.337637421E2,3.530596733E0,2.641059875E0,-4.733468890E-1
1.338137421E2,2.419684792E1,-3.224435806E1,8.616643906E0
1.338637421E2,1.694367886E0,-2.670809174E1,-3.643376827E-1
1.339137421E2,-4.304667950E0,6.122990608E0,-4.235533714E0
1.339637421E2,-6.135590553E0,9.601236343E0,-8.882706642E0
1.340137421E2,-8.103643417E0,1.249392509E1,-1.927302361E1
1.340637421E2,-7.791262627E0,1.205169582E1,-8.406512260E0
1.341137421E2,-1.323137999E0,-2.529175758E0,3.429224396E1
1.341637421E2,-7.309584141E0,6.139743328E0,-8.078101158E0
1.342137421E2,-1.481554508E1,-2.119145203E1,-1.801084900E1
1.342637421E2,1.025979614E1,-2.394030762E1,-4.674708366E0
1.343137421E2,3.489994812E1,-2.862258148E1,-1.300989723E1
1.343637421E2,8.458660126E0,-7.361345291E-1,8.064793587E0
1.344137421E2,-4.114221573E0,1.637716675E1,1.228583717E1
1.344637421E2,7.044959068E0,7.063746929E0,3.173634052E0
1.345137421E2,4.335763931E0,1.306014061E1,1.065837860E1
1.345637421E2,2.872689009E0,8.193948746E0,3.731400967E0
1.346137421E2,1.804612732E1,-2.032772827E1,9.490063667E0
1.346637421E2,8.160024643E0,-5.837406158E1,-6.149183750E0
1.347137421E2,-8.087390900E0,-7.409294128E0,-6.084523678E0
1.347637421E2,-5.544103622E0,1.172503090E1,-7.395720005E0
1.348137421E2,-8.139487267E0,1.363286400E1,-1.604422951E1
1.348637421E2,-7.695024490E0,1.331307793E1,-7.684918404E0
1.349137421E2,-1.966398716E0,-2.280340195E-1,2.069197273E1
1.349637421E2,-6.059409142E0,5.978251457E0,-1.359513474E1
1.350137421E2,-1.611012268E1,-1.223215675E1,-1.646146965E1
1.350637421E2,5.328767300E0,-2.176583290E1,-3.084557056E0
1.351137421E2,3.049685669E1,-3.282761383E1,-2.200831032E1
1.351637421E2,1.665323639E1,4.882212639E0,2.354024124E1
1.352137421E2,-4.498768449E-1,1.434527206E1,3.589147329E0
1.352637421E2,7.657547474E0,7.766485214E0,3.165950537E0
1.353137421E2,3.829795837E0,1.334553623E1,7.424235344E0
1.353637421E2,4.082188129E0,7.805397034E0,6.088730812E0
1.354137421E2,1.920774651E1,-2.051590919E1,8.538976669E0
1.354637421E2,9.125666618E0,-5.989041519E1,-4.450721741E0
1.355137421E2,-8.992853165E0,-3.456294060E0,-8.179085732E0
1.355637421E2,-5.126438141E0,1.320767784E1,-6.323762894E0
1.356137421E2,-7.505770206E0,1.492429543E1,-1.801449966E1
1.356637421E2,-8.804420471E0,1.190997410E1,-1.119077873E1
1.357137421E2,2.189218044E0,-1.802559853E0,4.835971069E1
1.357637421E2,-4.846803188E0,1.020508766E1,-1.157336140E1
1.358137421E2,-1.525934410E1,-2.005467224E1,-2.183776283E1
1.358637421E2,7.721688271E0,-3.041652489E1,-2.581974030E0
1.359137421E2,3.246141815E1,-3.245057678E1,-1.614626694E1
1.359637421E2,9.974510193E0,2.485120296E0,-4.369451523E0
1.360137421E2,-6.420264721E0,1.782643890E1,2.084233665E1
1.360637421E2,8.489573479E0,7.828203678E0,4.923302650E0
1.361137421E2,3.765888691E0,1.288173485E1,1.129249954E1
1.361637421E2,3.350744486E0,7.812950134E0,4.567500591E0
1.362137421E2,1.407919979E1,-2.334762573E1,1.832581711E1
1.362637421E2,6.980487823E0,-5.687104797E1,-5.170138359E0
1.363137421E2,-7.541498184E0,-4.967308521E0,-9.180315018E0
1.363637421E2,-3.269476414E0,1.483843803E1,-5.834737301E0
1.364137421E2,-6.434534073E0,1.351948261E1,-1.830373573E1
1.364637421E2,-8.211531639E0,1.041856956E1,-1.343231678E1
1.365137421E2,2.235773087E0,-3.194046021E-2,7.369554901E1
1.365637421E2,-9.124674797E0,7.243840694E0,-1.053651810E1
1.366137421E2,-1.345369816E1,-1.344291878E1,-1.831228447E1
1.366637421E2,5.501470089E0,-2.592180443E1,-5.890862465E0
1.367137421E2,3.083052444E1,-3.331806946E1,-2.227065277E1
