Time window,Time (s)_acc,Time (s)_gyro,Time (s)_mag,Time (s)_lin_acc,Time (s)_prox,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Distance (cm)
363.39,,363.4173258,363.4184527,363.4112033,,,,,-0.5219689608,-2.492562294,0.3263451457,8.515600204,54.04599762,-3.7819998260000003,-0.7383722067,-9.822216034,-13.61267948,
363.41999999999996,363.42258,,,,,-3.2147572039999996,-15.4737854,-11.71615696,,,,,,,,,,
363.45,363.47258,363.46813019999996,363.4684527,363.4612033,,-1.725524187,-6.610770702000001,-1.3187444209999999,-1.906454325,-1.33989346,0.017714571210000002,7.771399975,54.21680069,-4.50180006,-2.144896984,2.9166746139999997,-8.938236237,
363.51,363.52258,363.5189355,363.51845269999995,363.51120330000003,,2.737090111,-13.15603828,-1.148554921,-2.8689968589999997,-4.444829941,0.5395308137,6.831999778999999,54.2899971,-3.2451999189999996,2.645799637,-1.436916351,-10.70969677,
363.53999999999996,,363.5697415,363.56845269999997,363.56120330000005,,,,,-2.544331551,0.6946860551999999,-0.06337540597,6.087800026,54.32659912,-0.8051999806999999,6.347049713,-3.896711349,0.2679926157,
363.57,363.57257999999996,,,,,6.072086334,-11.13081264,0.3978067636,,,,,,,,,,
363.59999999999997,363.62257999999997,363.62054680000006,363.6184527,363.61120330000006,,-1.012163997,-5.665007591,2.609971285,-2.4710297580000002,-1.47534883,-1.366923451,5.270400047,54.05820084,2.5497999190000002,1.292496562,4.01686573,1.24378264,
363.65999999999997,363.67258,363.6713512,363.6684527,363.6612033,,-1.727917075,-7.716853142000001,1.64775753,-1.49306345,-2.971161127,-0.5387672782,4.73360014,53.33839798,5.95359993,-2.456969976,2.7632236480000003,2.48579073,
363.69,,,363.7184527,363.7112033,,,,,,,,4.977600098,52.08179855,9.052399635,-1.5648802519999998,0.8637094498000001,-1.156957269,
363.71999999999997,363.72258,363.7221565,,,,-0.518943429,-8.415856361,-2.542074919,-1.190846682,-2.236617327,0.6271874309000001,,,,,,,
363.75,363.77258,363.7729625,363.76845269999995,363.76120330000003,,3.7522449489999996,-10.91037369,3.208476067,-2.026638508,0.014354910700000001,0.9434536098999999,5.624199867000001,50.7397995,12.88319969,3.139603138,0.1551876068,4.234428406,
363.81,363.82257999999996,363.82376780000004,363.81845269999997,363.81120330000005,,5.16221571,-10.80987549,2.1744775769999998,-0.6255075932,-1.006370902,0.4184303582,6.661200047,49.01959991,17.3239994,5.8566780089999995,-1.196532249,6.044711112999999,
363.84,,,363.8684527,363.86120330000006,,,,,,,,7.795799732000001,47.14080048,21.63059998,2.993106127,-5.711112976,3.258651257,
363.87,363.87257999999997,363.8745722,,,,1.580758452,-14.6333065,2.9285159110000003,-0.22631891070000001,0.49432814119999996,-0.6001574397,,,,,,,
363.9,363.92258,363.92537749999997,363.9184527,363.9112033,,0.5440680385,-15.84228039,3.706482172,2.934815645,0.7986828089,-0.635891974,8.674200058,45.51819992,24.98559952,0.828943491,-4.249293327,6.6411828989999995,
363.96,363.97258,363.9761835,363.9684527,363.9612033,,-3.059223652,-16.3211441,-8.874381065,4.310443878,0.37597647310000004,-0.3975088596,9.052399635,44.71299744,26.65699959,-2.600372553,-6.911010742,0.1070269942,
363.99,,,364.01845269999995,364.01120330000003,,,,,,,,9.601399422,44.62759781,26.54719925,-5.982807636,-6.526073456000001,-1.038813591,
364.02,364.02258,364.0269887,,,,-5.8172507289999995,-16.85743523,3.828815222,3.194272995,0.7453863621,0.1611109674,,,,,,,
364.05,364.07257999999996,364.0777931,364.06845269999997,364.06120330000005,,-0.2246262282,-10.4413805,-1.818844318,2.7666800019999997,0.6281036735000001,0.6639909744,10.4187994,45.20100021,24.57079887,-2.113887072,-3.5137729639999997,-3.371415615,
364.11,364.12257999999997,364.1285984,364.1184527,364.11120330000006,,2.6051857469999997,-5.308177948,-0.866201818,2.757059097,0.9327637553,0.2464768738,10.95559978,45.7743988,21.4231987,1.189281702,2.113705635,-5.92615509,
364.14,,,364.1684527,364.1612033,,,,,,,,11.37039948,46.88459778,17.10439873,4.624056816,4.817434311,-7.29264307,
364.16999999999996,364.17258,364.17940439999995,,,,3.407379389,-3.302095175,-2.079961061,1.9055380819999999,2.692461967,-0.3290939629,,,,,,,
364.2,364.22258,,364.2184527,364.2112033,,0.06759724021,-0.295214504,-2.233101845,,,,11.56559944,48.37299728,11.94379997,1.606001854,7.224376678,-7.158582687000001,
364.22999999999996,,364.2302097,,,,,,,0.2121167034,3.042630196,-0.5951179266,,,,,,,
364.26,364.27258,364.28101410000005,364.26845269999995,364.26120330000003,,-0.7223333120000001,-1.800898194,0.1226321608,-1.888892412,1.795280099,-1.5452908280000002,11.46799946,50.02000046,6.905200005,1.4321203230000001,7.12327528,-6.603718757999999,
364.28999999999996,,,364.31845269999997,364.31120330000005,,,,,,,,11.1385994,52.54539871,2.684000015,-2.797890663,-1.30160141,15.31138039,
364.32,364.32257999999996,364.3318194,,,,-9.94696331,-17.55643845,17.24537277,0.1884463727,1.231468081,-0.8823688626,,,,,,,
364.34999999999997,364.37257999999997,,364.3684527,364.36120330000006,,-0.6720840334999999,-9.285049438,8.688637733,,,,10.74819946,53.53359985,-0.6953999996,-0.9876694679000001,-9.657546043,6.7610735889999996,
364.38,,364.3826254,,,,,,,1.141826272,1.015533566,-0.29885703329999996,,,,,,,
364.40999999999997,364.42258,364.43343070000003,364.4184527,364.4112033,,-7.629515171,-17.3243351,8.921041489,0.8076927662000001,0.19058434670000002,0.3851391971,10.39439964,54.04599762,-3.3915998939999996,-6.515241623,-1.0014524459999998,5.498317242000001,
364.44,,,364.4684527,364.4612033,,,,,,,,10.05280018,54.21680069,-5.197199821,-0.03785264492,3.756134033,-16.25599098,
364.46999999999997,364.47258,364.48423510000003,,,,-2.484647274,-2.839981318,-11.07218838,-1.698460817,-3.103867531,0.3603998721,,,,,,,
364.5,364.52258,,364.51845269999995,364.51120330000003,,1.8296120169999999,-13.50808239,-9.532706261,,,,9.662400246,54.52179718,-5.831599712,-1.908358574,-3.5028114319999997,-5.63775444,
364.53,,364.53504039999996,,,,,,,-3.341029167,-3.8518500330000003,0.6807892918999999,,,,,,,
364.56,364.57257999999996,364.5858464,364.56845269999997,364.56120330000005,,7.14945507,-14.05633736,2.025823355,-2.79493165,-0.1068982705,-0.2548760176,9.101200104,54.65599823,-4.513999939,6.800842285,-5.56919384,-1.6815279719999998,
364.59,,,364.6184527,364.61120330000006,,,,,,,,8.381400108,54.64379883,-1.8909999130000001,4.453067303,-0.24664878850000002,-0.8968110085,
364.62,364.62257999999997,364.63665160000005,,,,2.50707984,-8.174180984,0.8647062778,-2.709413052,-0.4732539058,-1.363105655,,,,,,,
364.65,364.67258,,364.6684527,364.6612033,,-3.729513168,-6.775875567999999,2.306082726,,,,7.344399929,54.41199875,1.4029999969999998,-3.090701342,2.846440315,1.888058066,
364.68,,364.6874561,,,,,,,-1.87285769,-1.72487998,-0.9219212532,,,,,,,
364.71,364.72258,364.73826139999994,364.7184527,364.7112033,,-0.8949156404,-7.661818027000001,1.082752228,-0.9399412274,-3.382719517,0.01954711229,6.673399925,53.44820023,4.538399696,-2.194214344,2.8091406819999998,2.279038191,
364.74,,,364.76845269999995,364.76120330000003,,,,,,,,6.7100000379999996,52.59420013,7.91779995,-1.072010994,1.565144539,-1.467029095,
364.77,364.77258,364.78906739999996,,,,-0.466301322,-7.786244869,-2.994617462,-1.369214177,-1.7270178790000001,0.8557969928,,,,,,,
364.8,364.82257999999996,,364.81845269999997,364.81120330000005,,3.273381472,-10.80508995,2.485544443,,,,7.307799816,51.37419891,11.82180023,2.837111235,0.03383350372,3.9054276939999997,
364.83,,364.83987260000004,,,,,,,-1.8239898680000002,-0.04993676394,0.8919897079000001,,,,,,,
364.86,364.87257999999997,,364.8684527,364.86120330000006,,6.031408787,-11.27916813,1.183250785,,,,8.052000046,49.78820038,16.45779991,6.59744978,-1.646241188,6.182081223,
364.89,,364.890677,364.9184527,364.9112033,,,,,-0.5105155706000001,-0.8996253014,0.06368082762,9.015799522,47.94599915,20.80099869,1.66477859,-5.167357445,4.074372768,
364.91999999999996,364.92258,364.9414823,,,,-0.2868396044,-14.06112289,3.7710886,0.06765133142000002,0.42957833409999996,-0.2976353168,,,,,,,
364.95,364.97258,,364.9684527,364.9612033,,1.360319614,-14.26690578,3.3212378030000003,,,,9.918600082000001,46.29899979,24.29019928,1.31762743,-3.165434837,7.559583664,
364.97999999999996,,364.99228839999995,,,,,,,3.430212736,0.8035695553,-0.3970507085,,,,,,,
365.01,365.02258,,365.01845269999995,365.01120330000003,,-1.43359983,-15.6987114,-5.635097504,,,,10.61399937,45.22539902,26.13239861,0.594671011,-5.222649574,2.66054678,
365.03999999999996,,365.0430936,365.06845269999997,365.06120330000005,,,,,4.113445282,-0.16828842460000001,-0.6270347238,11.56559944,45.11560059,25.72979927,-5.243417263,-8.151495934,-5.322378635,
365.07,365.07257999999996,365.093898,,,,-6.125925064,-17.49661827,0.05084748194,2.9522247310000003,1.554759026,-0.04627167806,,,,,,,
365.09999999999997,365.12257999999997,,365.1184527,365.11120330000006,,-2.091925144,-12.36371422,0.046061836179999996,,,,12.51719952,45.57920074,23.85099983,-3.571421862,-5.272384644,-2.620442152,
365.13,,365.1447033,,,,,,,2.62511611,0.4430169761,0.34283801909999995,,,,,,,
365.15999999999997,365.17258,,365.1684527,365.1612033,,1.544866085,-5.966802597,-1.538884044,,,,13.5053997,46.57959747,21.16699982,1.261141539,0.82949543,-4.723282337,
365.19,,365.1955093,365.2184527,365.2112033,,,,,2.8503661160000004,1.472905397,-0.004428642801999999,13.79819965,47.62879944,17.20199966,4.419580936,3.935496807,-7.33466959,
365.21999999999997,365.22258,365.2463146,,,,3.761816263,-3.713959932,-3.0424740310000002,1.63844502,2.971771955,-0.5291464329,,,,,,,
365.25,365.27258,,365.26845269999995,365.26120330000003,,0.5584250092999999,-0.78095752,-2.1254246230000002,,,,13.87139988,49.00740051,12.33419991,2.63214159,6.412800788999999,-7.090505123,
365.28,,365.297119,,,,,,,-0.153475374,3.094094038,-0.9011524320000001,,,,,,,
365.31,365.32257999999996,,365.31845269999997,365.31120330000005,,-0.8398807645,-1.35074842,-1.632204175,,,,13.59079933,50.65439987,7.478600025,0.6667976975,7.367678165,-7.357897757999999,
365.34,,365.34792430000005,365.3684527,365.36120330000006,,,,,-2.341530323,1.4768759009999999,-1.74992466,12.10239983,51.43519974,3.196399927,-1.0654400590000002,2.5409603119999997,6.0132780079999995,
