Time window,Time (s)_acc,Time (s)_gyro,Time (s)_mag,Time (s)_lin_acc,Time (s)_prox,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Distance (cm)
1.29,,,1.30352198,1.3110813609999998,,,,,,,,-25.09539986,-13.76159954,-28.64559937,4.394396782,2.0583753590000002,-0.8932031393000001,
1.3199999999999998,1.324874018,1.337425365,,,,11.49212933,-2.538485765,0.10588239880000001,-0.7275190949,0.6137487888000001,0.660631299,,,,,,,
1.3499999999999999,1.374874018,,1.35352198,1.3610813609999999,,6.689733982000001,-3.900599957,1.85593307,,,,-29.29220009,-7.197999954,-27.03520012,-1.8275170330000001,0.5846138,1.552130461,
1.38,,1.3882305730000002,1.40352198,,,,,,-0.05467082932999999,1.660893679,1.2285665270000001,-32.854599,-0.7319999933,-25.59560013,,,,
1.41,1.4248740180000001,1.4390365630000002,,1.411081361,,12.46421337,-2.799303293,2.6051857469999997,0.7153021693000001,0.5584670901,0.44851461049999997,,,,1.9406738280000002,1.718687534,2.764236927,
1.44,,,1.45352198,1.461081361,,,,,,,,-35.12379837,4.770199776,-24.47319984,1.418530464,1.40954113,-0.3363730907,
1.47,1.4748740180000002,1.4898433340000001,,,,7.374380112000001,-3.790530205,1.106680512,0.3442124426,0.689493835,0.06612421572,,,,,,,
1.5,1.5248740180000002,,1.503521198,1.511081361,1.525967708,6.49322319,-3.8383865360000002,0.4435695112,,,,-36.27059937,9.027999878,-23.72900009,-3.522233009,0.47450542450000005,-2.466125965,0.0
1.53,,1.540648437,1.553521198,,,,,,-0.5812211633,0.9371923804000001,0.33336988089999997,-36.42919922,12.34639931,-23.81439972,,,,
1.56,1.574874018,,,1.5610813609999998,,5.164608479,-2.603091955,3.529413462,,,,,,,-3.22267437,2.39157939,0.22313904760000003,
1.5899999999999999,,1.591453646,1.6035211980000001,1.6110813609999999,,,,,-0.2266243398,0.6826218367,0.6589514613,-35.770401,14.8107996,-24.58300018,-3.575709343,2.356941223,1.897070169,
1.6199999999999999,1.624874018,1.642259635,,,,4.989932537,-3.30927372,4.089632988,0.3990359604,0.35230615740000004,1.229330063,,,,,,,
1.65,1.6748740180000001,,1.6535211980000002,1.661081361,,7.872386456,-4.930111885,4.649852753,,,,-34.58699799,16.70179939,-25.87619972,-0.7466211319,1.127002716,1.9204094409999999,
1.68,,1.693066406,1.703521198,,,,,,0.43263256549999995,1.061041713,0.4598152637,-33.1352005,18.08040047,-27.55979919,,,,
1.71,1.7248740180000002,,,1.711081361,,14.38654709,-6.531807422999999,6.258726597000001,,,,,,,7.151963234,-0.3286852837,2.450491667,
1.74,,1.743872343,1.753521198,1.761081361,,,,,1.123806238,0.1455343664,-0.504712522,-31.56139946,18.89780045,-29.43859863,-0.1834330559,-1.012817383,5.239194393,
1.77,1.7748740180000002,1.7946775,,,,8.513961792,-6.646663189,5.973681927,0.46348035340000004,-0.1597365588,0.4709632397,,,,,,,
1.7999999999999998,1.824874018,,1.803521198,1.8110813609999998,,12.35892868,-7.458128929,0.8742775917,,,,-30.26819992,19.11739922,-31.00020027,-4.101756096,-2.6951150889999997,-6.103510857000001,
1.8299999999999998,,1.845483541,1.8535211980000001,,,,,,-0.665518105,0.43568679689999995,0.7461498976000001,-29.15799904,19.43459892,-32.22019958,,,,
1.8599999999999999,1.874874018,,,1.8610813609999999,,8.090133667,-7.965706347999999,1.278963685,,,,,,,0.5150856972,-0.8696727753,-0.1545648575,
1.89,,1.8962903119999999,1.9035211980000002,1.911081361,,,,,-0.9245173335,-1.221236348,0.2221956849,-28.1697998,20.08119965,-33.1473999,-2.049676418,-2.275418282,-4.19023037,
