"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.608110814E2,-2.320075512E0,2.860992432E0,5.461767197E0
3.608610814E2,-2.780018806E0,2.874813080E-1,6.923616529E-1
3.609110814E2,-2.188231200E-1,1.698523521E0,7.201597691E-1
3.609610814E2,5.905010700E0,-4.046650887E0,8.375631332E0
3.610110814E2,6.555992603E0,-5.110081673E0,4.781597614E0
3.610610814E2,1.475093246E0,-5.335231781E0,9.253602028E0
3.611110814E2,-1.580734611E0,-8.161455154E0,-3.138569832E0
3.611610814E2,-4.644412994E0,-6.732093811E0,-3.688173771E0
3.612110814E2,-3.338769197E0,-5.550953865E0,-4.869271755E0
3.612610814E2,1.300017715E0,3.002540588E0,-5.410603523E0
3.613110814E2,5.039661884E0,5.561532021E0,-7.548876762E0
3.613610814E2,2.451188326E0,7.861369133E0,-7.623939037E0
3.614110814E2,5.188738108E-1,6.985213757E0,-7.595371246E0
3.614610814E2,-3.393618584E0,-1.039216042E0,2.554351997E1
3.615110814E2,1.363359094E0,-1.075267982E1,8.585468292E0
3.615610814E2,-3.338552952E0,5.593374729E0,3.426861763E0
3.616110814E2,-2.973224640E0,-7.254984856E0,-1.470840263E1
3.616610814E2,-1.024823904E0,2.931000710E0,-5.890222549E0
3.617110814E2,4.930213928E0,-4.227847099E0,-6.268102646E0
3.617610814E2,7.734344006E0,-2.198288918E0,-5.449628234E-1
3.618110814E2,-8.337897062E-1,4.039614677E0,2.402372122E0
3.618610814E2,-4.456184387E0,1.523238182E0,2.552020073E0
3.619110814E2,-3.506757259E0,1.146186829E0,-3.079011440E-1
3.619610814E2,4.634466648E0,3.359498978E-1,4.637482166E0
3.620110814E2,9.211647987E0,-2.092567444E0,5.526800156E0
3.620610814E2,1.190144718E-1,-6.264498711E0,6.948667526E0
3.621110814E2,1.526802182E0,-9.655991554E0,4.593522549E0
3.621610814E2,-3.106841326E0,-7.224676132E0,-8.535942078E0
3.622110814E2,-4.507658005E0,-8.421206474E0,1.212847114E0
3.622610814E2,8.835063577E-1,9.936265945E-1,-5.760375977E0
3.623110814E2,2.434580326E0,4.560963631E0,-5.129926682E0
3.623610814E2,5.180784702E0,6.117657185E0,-7.788865566E0
3.624110814E2,2.124545097E0,8.616765976E0,-8.060911179E0
3.624610814E2,8.586678505E-1,6.831064224E0,-1.026998758E0
3.625110814E2,-1.450014973E1,-2.269590569E1,7.269849777E0
3.625610814E2,-8.073687553E-3,3.064060211E0,-1.437510490E0
3.626110814E2,-2.846258163E0,-1.177863503E1,-2.333752871E0
3.626610814E2,-7.651984692E-1,6.599784374E0,-1.298931885E1
3.627110814E2,3.022354126E0,-3.167352676E0,-1.298063278E1
3.627610814E2,8.829190254E0,-6.449754715E0,-9.925981760E-1
3.628110814E2,3.414627790E0,3.709857941E0,1.425595045E0
3.628610814E2,-3.425159931E0,2.358876228E0,4.351018906E0
3.629110814E2,-3.429848194E0,1.192599297E0,1.049884319E0
3.629610814E2,1.291706800E0,1.322017670E0,1.902604103E-1
3.630110814E2,6.710047722E0,-2.286341667E0,6.719020844E0
3.630610814E2,3.819682121E0,-4.571247101E0,5.022062302E0
3.631110814E2,-1.275010347E0,-4.304747581E0,8.062237740E0
3.631610814E2,2.598636389E0,-7.456575394E0,4.538452148E0
3.632110814E2,-1.471360207E0,-7.459433556E0,-8.630971909E0
3.632610814E2,-3.343783140E0,-7.452424049E0,-5.517071486E-1
3.633110814E2,9.076763391E-1,1.386991501E0,-6.357357025E0
3.633610814E2,4.401558876E0,4.245077133E0,-5.773879051E0
3.634110814E2,5.541450024E0,6.038781643E0,-7.199963570E0
3.634610814E2,1.641722560E0,7.574348927E0,-8.817182541E0
3.635110814E2,-9.675782919E-1,5.571664810E0,-1.072790623E-1
3.635610814E2,-1.435717297E1,-2.460523796E1,8.671411514E0
3.636110814E2,3.066051006E-1,5.107391357E0,5.408487320E-1
3.636610814E2,8.330321312E-1,-1.226393318E1,-1.318948841E1
3.637110814E2,-4.747366428E0,5.502647877E0,-9.874183655E0
3.637610814E2,3.736178398E0,-5.278840065E0,-1.309321404E1
3.638110814E2,9.377880096E0,-7.436037064E0,-3.557846546E-1
3.638610814E2,2.823968172E0,3.741024971E0,-4.334156513E-1
3.639110814E2,-4.181034088E0,2.614433289E0,4.472169876E0
3.639610814E2,-4.196417332E0,4.478330612E-1,-4.959905148E-2
3.640110814E2,1.800393820E0,2.523599148E0,1.616780758E0
3.640610814E2,8.724322319E0,-3.108500481E0,6.867974281E0
3.641110814E2,2.214092255E0,-6.120220184E0,3.993609190E0
3.641610814E2,-2.996954620E-1,-3.318672180E0,8.826169968E0
3.642110814E2,2.796696663E0,-7.204769135E0,3.506664515E0
3.642610814E2,-4.434833050E0,-9.306126595E0,-6.829642296E0
3.643110814E2,-4.072623253E0,-6.206615448E0,-3.837937832E0
3.643610814E2,6.910433769E-1,1.979309082E0,-5.712380409E0
3.644110814E2,5.450584888E0,3.837168694E0,-8.074852943E0
3.644610814E2,2.889422417E0,7.854376316E0,-7.949828148E0
3.645110814E2,7.596521974E-1,7.880026817E0,-8.406012535E0
3.645610814E2,-6.812063217E0,-3.417930603E0,1.770400810E1
3.646110814E2,2.674471140E-1,-7.921010017E0,8.451576233E0
3.646610814E2,-1.638565540E0,4.930787086E0,3.562191486E0
3.647110814E2,2.733671665E-2,-4.767550468E0,-1.827261543E1
3.647610814E2,-5.336206436E0,-2.749233246E-1,-8.368196487E-1
3.648110814E2,3.071749926E0,-2.303029060E0,-7.005064011E0
3.648610814E2,1.059453964E1,-3.781892776E0,-6.849826574E-1
3.649110814E2,6.700248122E-1,4.114307880E0,4.312962532E0
3.649610814E2,-3.281528711E0,1.890464783E0,1.945519328E0
3.650110814E2,-3.748877048E0,1.706076622E0,-3.635203838E-2
3.650610814E2,1.324190974E0,3.538961411E-1,2.305857420E0
3.651110814E2,8.785369873E0,-2.985157013E0,8.402656555E0
3.651610814E2,2.583811522E0,-6.203778267E0,4.713674545E0
3.652110814E2,4.002720356E0,-6.678129196E0,7.011696815E0
3.652610814E2,-4.263918847E-3,-9.883400917E0,-8.175569534E0
3.653110814E2,-8.537698746E0,-7.960122108E0,2.625041962E0
3.653610814E2,-3.258011818E0,-5.270957947E-1,-3.521304846E0
3.654110814E2,3.566830397E0,4.648170948E0,-5.448556900E0
3.654610814E2,6.867022991E0,5.451333523E0,-8.269856453E0
3.655110814E2,1.543249011E0,8.401646614E0,-9.409367561E0
3.655610814E2,-5.060713291E-1,7.440621853E0,-2.805519104E0
3.656110814E2,-1.386576843E1,-2.599929428E1,7.580375195E0
3.656610814E2,-1.072563171E0,4.934318066E0,1.731503963E0
3.657110814E2,3.809337020E-1,-1.072385502E1,-1.052507210E1
3.657610814E2,-4.296970844E0,5.290859222E0,-8.843834877E0
3.658110814E2,1.920500040E0,-2.565743446E0,-1.049320793E1
3.658610814E2,8.518576622E0,-7.209095001E0,-2.852647305E-1
3.659110814E2,1.936872840E0,3.908133507E0,1.148495555E0
3.659610814E2,-2.837119341E0,2.478888512E0,3.314848900E0
3.660110814E2,-3.522585630E0,1.126290321E0,-2.060058117E-1
3.660610814E2,9.156213403E-1,9.889364243E-1,3.784841061E0
3.661110814E2,1.012275887E1,-3.045175552E0,8.409784317E0
3.661610814E2,2.682720184E0,-5.957693100E0,4.524415970E0
3.662110814E2,3.423654079E0,-5.511345863E0,5.803979874E0
3.662610814E2,-2.388013601E0,-7.539966583E0,-4.401056767E0
3.663110814E2,-7.345469952E0,-8.573816299E0,-3.573331833E-1
3.663610814E2,-2.254984140E0,-1.865505219E0,-3.876293421E0
3.664110814E2,8.875541091E-1,3.554262161E0,-5.459749699E0
3.664610814E2,6.278834820E0,5.369672775E0,-8.195203781E0
3.665110814E2,2.265509844E0,8.999590874E0,-8.289781570E0
3.665610814E2,9.295957088E-1,7.498319149E0,-3.761952639E0
3.666110814E2,-1.385674191E1,-1.792540359E1,1.158694553E1
3.666610814E2,-2.012252569E0,3.654065132E0,6.380167484E0
3.667110814E2,-3.967049122E0,-8.660271645E0,-1.706900787E1
3.667610814E2,-4.685627460E0,3.358196259E0,-6.074596405E0
3.668110814E2,4.017439365E0,-3.708239555E0,-7.445689678E0
3.668610814E2,1.069985867E1,-2.831334114E0,-3.462318182E-1
3.669110814E2,1.072915196E0,4.103732109E0,4.034274578E0
3.669610814E2,-3.002034664E0,1.826736450E0,1.018533230E0
3.670110814E2,-3.909960508E0,1.310551643E0,4.335619211E-1
3.670610814E2,1.970976472E0,-2.952575684E-2,3.753697634E0
3.671110814E2,1.025077248E1,-3.086040497E0,7.806656837E0
3.671610814E2,-7.987450957E-1,-7.178030968E0,7.738958359E0
3.672110814E2,4.663407326E0,-9.825874329E0,2.084625006E0
3.672610814E2,-4.249352932E0,-7.894229889E0,-8.298686028E0
3.673110814E2,-6.824943066E0,-7.391085625E0,-8.014427423E-1
3.673610814E2,-4.501838088E-1,2.244366646E0,-5.962438107E0
3.674110814E2,4.638892651E0,4.241871357E0,-5.758070946E0
3.674610814E2,5.398649216E0,6.574226856E0,-7.349106789E0
3.675110814E2,1.433384061E0,8.982933044E0,-7.353066444E0
3.675610814E2,-7.431936264E-1,4.867384911E0,5.072570324E0
