"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.395352156E1,4.013800144E0,4.518880081E1,-2.737679863E1
1.400352156E1,1.634799957E0,4.778739929E1,-2.304579926E1
1.405352156E1,-2.195999920E-1,4.997119904E1,-1.881239891E1
1.410352156E1,-1.707999945E0,5.155719757E1,-1.534759998E1
1.415352156E1,-3.074399948E0,5.231359863E1,-1.356639957E1
1.420352156E1,-3.977200031E0,5.214279938E1,-1.404220009E1
1.425352156E1,-3.708799839E0,5.105699921E1,-1.603079987E1
1.430352156E1,-2.842599869E0,4.927579880E1,-1.904419899E1
1.435352156E1,-1.561599970E0,4.665279770E1,-2.324099922E1
1.440352156E1,3.294000030E-1,4.328559875E1,-2.830399895E1
1.445352156E1,2.757200003E0,4.006480026E1,-3.330599976E1
1.450352156E1,5.124000072E0,3.749060059E1,-3.749060059E1
1.455352156E1,7.088200092E0,3.523360062E1,-4.078459930E1
1.460352156E1,9.735599518E0,3.333039856E1,-4.244379807E1
1.465352156E1,1.160219955E1,3.209819794E1,-4.338319778E1
1.470352156E1,1.262699986E1,3.179319954E1,-4.350519943E1
1.475352156E1,1.254160023E1,3.307419968E1,-4.226079941E1
1.480352156E1,1.163879967E1,3.535559845E1,-4.011359787E1
1.485352156E1,9.650199890E0,3.800299835E1,-3.728319931E1
1.490352156E1,7.307799816E0,4.024779892E1,-3.445280075E1
1.495352156E1,4.465199947E0,4.274879837E1,-3.085379982E1
1.500352156E1,1.622599959E0,4.542060089E1,-2.696199989E1
1.505352156E1,-6.953999996E-1,4.808020020E1,-2.232600021E1
1.510352156E1,-2.586400032E0,5.042259979E1,-1.783639908E1
1.515352156E1,-3.903999805E0,5.232579803E1,-1.462779999E1
1.520352156E1,-5.245999813E0,5.302119827E1,-1.328579998E1
1.525352156E1,-5.941400051E0,5.269179916E1,-1.387139988E1
1.530352156E1,-5.685199738E0,5.165480042E1,-1.578679943E1
1.535352156E1,-4.818999767E0,5.004439926E1,-1.892219925E1
1.540352156E1,-3.635599852E0,4.745800018E1,-2.324099922E1
1.545352156E1,-1.939799905E0,4.440800095E1,-2.836499977E1
1.550352156E1,2.317999899E-1,4.168740082E1,-3.318399811E1
1.555352156E1,2.061800003E0,3.949139786E1,-3.685620117E1
1.560352156E1,4.501800060E0,3.747840118E1,-3.946699905E1
1.565352156E1,6.978399754E0,3.579479980E1,-4.115060043E1
1.570352156E1,8.674200058E0,3.464799881E1,-4.211439896E1
1.575352156E1,9.698999405E0,3.452600098E1,-4.200460052E1
1.580352156E1,9.686800003E0,3.570940018E1,-4.077239990E1
1.585352156E1,8.686399460E0,3.788100052E1,-3.846659851E1
