"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.417487402E1,2.111666054E-1,-8.231609344E0,-5.209175110E0
6.422487402E1,4.166203499E0,-1.277797222E1,7.494021416E0
6.427487402E1,-7.680960894E-1,-1.395105362E1,-3.801597059E-1
6.432487402E1,7.091727853E-1,-1.502842140E1,2.260619164E0
6.437487402E1,-1.371386528E0,-1.394387531E1,4.973182678E0
6.442487402E1,-1.660917997E0,-1.500927925E1,-4.414159775E0
6.447487402E1,-1.407278776E0,-1.488485241E1,-1.924427629E0
6.452487402E1,-2.161317110E0,-9.160323143E0,-2.762214661E0
6.457487402E1,1.966002941E0,-4.312464714E0,-2.106282234E0
6.462487402E1,2.138585329E0,-1.999801517E0,-7.274180651E-1
6.467487402E1,-8.542376757E-1,-9.056833982E-1,-1.727917075E0
6.472487402E1,-1.641775489E0,-4.551746845E0,9.282357216E0
6.477487402E1,-6.276672840E0,-2.799004364E1,1.279950714E1
6.482487402E1,-4.347160339E0,-3.993920088E0,5.286642551E0
6.487487402E1,-2.819642305E0,-1.947667885E1,-5.692524910E0
6.492487402E1,-4.893023014E0,-3.634697676E0,-7.505088329E0
6.497487402E1,5.985944748E0,-1.094178009E1,-5.936892033E0
6.502487402E1,5.550152302E0,-1.314407349E1,3.038585663E0
6.507487402E1,-3.658027649E-1,-6.536593437E0,1.204786181E0
6.512487402E1,-2.369492531E0,-6.653841496E0,1.755434513E0
6.517487402E1,3.499503136E-1,-9.490832329E0,-1.663310885E0
6.522487402E1,-9.595218897E-1,-8.499605179E0,-4.644169807E0
6.527487402E1,2.710768938E0,-1.420708561E1,1.023529911E1
6.532487402E1,1.434497118E0,-1.340997601E1,2.794517756E0
6.537487402E1,4.494318962E0,-1.595952892E1,3.333201885E0
6.542487402E1,-1.670489311E0,-1.389123249E1,-8.949156404E-1
6.547487402E1,-4.720739841E0,-1.657029724E1,-4.730311394E0
6.552487402E1,-3.569194078E0,-1.315843105E1,-1.225125194E0
6.557487402E1,9.343972206E-1,-6.756732941E0,-2.347957134E0
6.562487402E1,3.203989506E0,-3.424129248E0,-2.367099762E0
6.567487402E1,1.609472275E0,-2.006979942E0,-1.766202211E0
6.572487402E1,-1.016949654E0,-7.139584422E-1,-5.165506005E-1
6.577487402E1,-3.504288673E0,-8.430212975E0,1.453759384E1
6.582487402E1,-1.421635747E0,-1.954607010E1,9.902397156E0
6.587487402E1,-3.205185890E0,-3.917349815E0,7.613662720E0
6.592487402E1,-2.984747171E0,-1.513370609E1,-1.076800060E1
6.597487402E1,-5.422136307E0,-7.300202847E0,-4.445266247E0
6.602487402E1,3.424129248E0,-9.227322578E0,-6.688537598E0
6.607487402E1,5.784648895E0,-1.471705532E1,2.744268417E0
6.612487402E1,2.605185747E0,-6.885945320E0,2.255833626E0
6.617487402E1,-1.333101273E0,-6.952944279E0,3.720839262E0
6.622487402E1,8.575277925E-1,-9.157930374E0,-1.249053478E0
6.627487402E1,-3.729812205E-1,-6.411867142E0,-2.264208317E0
6.632487402E1,2.341975212E0,-1.250249863E1,2.787339211E0
6.637487402E1,2.966800928E0,-1.432223988E1,3.771088600E0
6.642487402E1,-1.328315616E0,-1.637378693E1,5.830112457E0
6.647487402E1,6.999006122E-2,-1.515524101E1,-3.075973511E0
6.652487402E1,-2.934497833E0,-1.673061562E1,-3.075973511E0
6.657487402E1,-3.700799227E0,-1.451845169E1,-2.534896374E0
6.662487402E1,-1.214357466E-1,-5.796612740E0,-1.584347725E0
6.667487402E1,4.724030018E0,-2.507079840E0,-2.429612398E0
6.672487402E1,2.255235314E-1,-1.034895778E-1,-2.094317913E0
6.677487402E1,-1.261017561E0,-1.032503009E0,-2.094317913E0
6.682487402E1,-4.272983074E0,-9.241679192E0,1.982603073E1
6.687487402E1,-1.079162955E0,-1.779841232E1,1.213848972E1
6.692487402E1,-5.072484970E0,-6.423831463E0,5.777470112E0
6.697487402E1,-4.490729809E0,-1.216989613E1,-9.870393753E0
6.702487402E1,-2.965604544E0,-7.580461979E0,-1.459920883E0
6.707487402E1,5.274678230E0,-1.166231823E1,-2.800499916E0
6.712487402E1,7.228417873E0,-1.126002502E1,2.593221426E0
6.717487402E1,-1.416850090E0,-5.710471153E0,1.503889084E0
6.722487402E1,-2.307279348E0,-8.614460945E0,1.422533035E0
6.727487402E1,-1.107876897E0,-7.752745152E0,-4.373481750E0
6.732487402E1,5.895316601E-1,-9.627223015E0,2.334796667E0
6.737487402E1,8.667102814E0,-1.346501160E1,5.334498882E0
6.742487402E1,1.974078640E-2,-1.578246021E1,5.648257732E0
6.747487402E1,1.669292927E0,-1.691964912E1,3.259024382E0
6.752487402E1,-1.749452472E0,-1.911027718E1,-9.245567322E0
6.757487402E1,-2.719143867E0,-1.646232033E1,1.130608678E0
6.762487402E1,-6.361917257E-1,-8.655138969E0,-1.857428551E0
6.767487402E1,2.191227436E0,-4.398606300E0,-1.253839016E0
6.772487402E1,4.544568539E0,-2.059622049E0,-2.422433853E0
6.777487402E1,-7.319046259E-1,4.304089844E-1,-2.704786777E0
6.782487402E1,-2.335993052E0,-1.918146491E0,4.060919285E0
