"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.542183214E1,-4.759025097E0,4.301696777E0,-1.923859406E1
4.547183214E1,-7.404290676E0,4.488337040E0,-7.306184769E0
4.552183214E1,-3.573979616E0,1.136590719E0,1.078116131E1
4.557183214E1,-1.756630898E0,-6.756732941E0,-1.327717495E1
4.562183214E1,-1.941177368E0,-3.404986620E0,-4.579264164E0
4.567183214E1,2.444866419E0,-4.330500412E1,-8.263912201E0
4.572183214E1,4.076472473E1,-4.416223526E1,-1.032293606E1
4.577183214E1,2.145165443E1,-5.324927807E0,1.609352684E1
4.582183214E1,-5.072484970E0,3.717549086E0,1.273460197E1
4.587183214E1,1.165035439E1,-3.366701365E0,2.470589429E-1
4.592183214E1,4.235595226E0,2.843570709E0,1.125284672E1
4.597183214E1,-6.863213539E0,-8.650053740E-1,1.879861236E0
4.602183214E1,4.858027935E0,-3.986741543E0,1.259821177E0
4.607183214E1,3.242873001E1,-4.002265167E1,1.401326656E1
4.612183214E1,1.239482117E1,-4.935734940E1,2.839981318E0
4.617183214E1,3.919742584E0,-1.899003863E0,-1.469492197E0
4.622183214E1,-1.775773525E0,4.328018188E0,-7.174579620E0
4.627183214E1,-6.944868565E0,6.398706913E0,-1.558265972E1
4.632183214E1,-6.101996899E0,4.380660057E0,-4.615156651E0
4.637183214E1,1.456032634E0,-1.061366367E1,2.037428665E1
4.642183214E1,-2.671287298E0,-1.602293849E0,-9.628418922E0
4.647183214E1,-5.393422127E0,-1.655354691E1,-1.541994762E1
4.652183214E1,7.702496052E0,-3.317559052E1,-7.009474754E0
4.657183214E1,4.223481369E1,-4.866791916E1,-3.093829918E1
4.662183214E1,1.800898170E1,-8.968897820E0,2.176302147E1
4.667183214E1,-3.047259569E0,8.180163383E0,1.094865894E1
4.672183214E1,8.451748848E0,2.252244234E0,1.561316848E-1
4.677183214E1,3.555734396E0,2.053640127E0,5.583651543E0
4.682183214E1,-4.109972000E0,-3.649054468E-2,3.235096216E0
4.687183214E1,1.196620655E1,-1.065434170E1,-3.837190151E0
4.692183214E1,2.926123047E1,-5.053043365E1,4.293023109E0
4.697183214E1,8.480463028E0,-3.812663651E1,-1.031306505E0
4.702183214E1,1.875075698E0,-2.057229280E0,-2.084746838E0
4.707183214E1,-2.633002281E0,2.604288340E0,-7.584051132E0
4.712183214E1,-5.682953835E0,8.005187988E0,-1.448136234E1
4.717183214E1,-5.718846321E0,4.143471718E0,-5.328815937E0
4.722183214E1,9.750752449E-1,-1.148255730E1,2.151386833E1
4.727183214E1,-1.388136268E0,-1.290927768E0,-8.543871880E0
4.732183214E1,-4.893023014E0,-1.594995785E1,-1.549651718E1
4.737183214E1,1.188006496E1,-3.776263046E1,-2.956033230E0
4.742183214E1,3.994607925E1,-4.558656311E1,-8.318946838E0
4.747183214E1,1.367079353E1,-5.229214668E0,2.253440619E0
4.752183214E1,-2.644966364E0,3.595216036E0,7.388737202E0
4.757183214E1,1.065912724E1,-2.952444077E0,2.689233541E0
4.762183214E1,4.149453640E0,3.329612732E0,4.221238136E0
4.767183214E1,-3.343969584E0,-6.999006122E-2,4.865206718E0
4.772183214E1,1.040997505E1,-9.440582275E0,-6.322136402E0
4.777183214E1,3.345076370E1,-5.084897614E1,8.686244965E0
4.782183214E1,5.128716469E0,-3.712823105E1,-2.656930447E0
4.787183214E1,7.737790346E-1,-1.932503343E0,-2.381456852E0
4.792183214E1,-2.111067772E0,4.605585575E0,-7.399505138E0
4.797183214E1,-8.426624298E0,6.111567974E0,-8.895915985E0
4.802183214E1,-4.275375843E0,1.864308000E0,-3.473181963E0
4.807183214E1,3.888336942E-2,-1.228235817E1,1.098455143E1
4.812183214E1,-2.376671076E0,-2.991028363E-3,-4.778167725E0
4.817183214E1,-4.706383228E0,-1.793959045E1,-1.235055447E1
4.822183214E1,1.450170135E1,-3.572783279E1,-6.300601006E0
4.827183214E1,3.830370712E1,-3.661347580E1,-2.024387741E1
4.832183214E1,1.090080261E1,-1.058495045E1,8.082955360E0
4.837183214E1,-5.452644825E-1,8.081758499E0,8.877969742E0
4.842183214E1,1.036929703E1,-3.993920088E0,6.326025128E-1
4.847183214E1,3.883850336E0,2.388635159E0,7.343273640E0
4.852183214E1,-1.699203134E0,-3.215355575E-1,1.607079506E0
4.857183214E1,1.464287853E1,-1.658226013E1,-1.567597985E0
4.862183214E1,2.635963249E1,-6.444738770E1,3.979563236E0
4.867183214E1,1.707578063E0,-2.523919487E1,-3.550051451E0
4.872183214E1,4.185346127E0,7.612765312E0,-3.538386524E-1
4.877183214E1,-4.117150307E0,1.316052437E0,-8.802596092E0
4.882183214E1,-6.829713821E0,5.876772404E0,-6.463612080E0
4.887183214E1,-3.827618837E0,2.877070189E0,-4.356731892E0
4.892183214E1,5.569294930E0,-1.493031597E1,1.302682590E1
4.897183214E1,-4.983950615E0,2.429313183E0,-3.540480137E0
4.902183214E1,-3.849453330E-1,-4.601996231E1,-1.632473373E1
4.907183214E1,2.653191566E1,-3.590011597E1,-3.513859987E0
4.912183214E1,4.344857407E1,-1.807119560E1,7.825157928E1
4.917183214E1,-8.374879360E-1,-3.821636915E0,-4.907380104E0
4.922183214E1,1.175563812E1,7.001997471E0,8.137989998E0
4.927183214E1,8.370392799E0,9.906286001E-1,2.991028363E-3
4.932183214E1,7.716853172E-2,2.194816589E0,5.439783096E0
4.937183214E1,4.362713814E0,-2.253440619E0,1.776969910E0
4.942183214E1,2.749203682E1,-3.552175140E1,1.832483482E1
4.947183214E1,1.337647724E1,-5.336024475E1,-3.830011845E0
4.952183214E1,7.809575200E-1,-8.741579056E0,-3.092723370E0
4.957183214E1,-5.787639618E-1,4.979164600E0,-6.030212402E0
4.962183214E1,-5.776273727E0,3.616751432E0,-1.764407539E1
4.967183214E1,-6.844070911E0,3.066103220E0,-5.225924492E0
4.972183214E1,5.499902725E0,-1.390319729E1,3.264408112E1
4.977183214E1,-2.623430967E0,-8.889335990E-1,-3.853940010E0
4.982183214E1,-1.238644600E1,-2.529183578E1,-1.764168358E1
4.987183214E1,1.439372540E1,-3.668526077E1,-3.643371582E0
4.992183214E1,4.196681976E1,-4.471288300E1,-1.233141136E1
4.997183214E1,8.748458862E0,-5.147858620E0,-8.590233326E-1
5.002183214E1,5.784648895E0,1.035852909E1,1.187527943E1
5.007183214E1,9.294321060E0,-1.662114382E0,-2.616252422E0
5.012183214E1,1.650150299E0,1.926521301E0,6.531508446E0
5.017183214E1,3.649054468E-2,-6.924230456E-1,1.561615825E0
5.022183214E1,1.798266029E1,-1.901217270E1,-1.335494161E0
5.027183214E1,2.351546478E1,-7.305168152E1,-7.481160164E0
5.032183214E1,1.839183331E0,-2.030728722E1,-5.264209747E0
5.037183214E1,2.176870346E0,6.446563244E0,-2.297708035E0
5.042183214E1,-2.359921217E0,2.635395050E0,-1.247737408E1
5.047183214E1,-6.255137444E0,4.631906509E0,-7.361219883E0
5.052183214E1,6.045765400E0,4.200899124E0,6.695865631E1
5.057183214E1,-2.940180898E-1,-1.201167011E1,9.208179474E0
5.062183214E1,-3.942474365E0,-3.436093330E0,-3.803690672E0
5.067183214E1,5.967101455E-1,-3.903890228E1,-1.718674850E1
5.072183214E1,3.414527893E1,-4.464588165E1,-3.899403572E0
5.077183214E1,3.077199745E1,-8.128418922E0,5.189733124E1
5.082183214E1,-5.783452511E0,-1.728814393E-1,5.461617470E0
5.087183214E1,1.312253857E1,2.594717026E0,9.797113419E0
5.092183214E1,6.924230576E0,8.276175261E-1,-2.367099762E0
5.097183214E1,-2.604288340E0,-3.717848063E-1,6.009573936E0
5.102183214E1,2.145763636E0,-4.360321045E0,1.183250785E0
5.107183214E1,2.577309227E1,-3.079831886E1,5.693721294E0
5.112183214E1,1.657956886E1,-5.275456238E1,2.071287155E0
5.117183214E1,4.292125702E-1,-1.120499039E1,-4.112663746E0
5.122183214E1,-8.793623000E-2,5.345565796E0,-3.870689631E0
5.127183214E1,-6.473183632E0,3.434896946E0,-1.409342670E1
5.132183214E1,-6.564110756E0,1.412064433E0,-5.117948532E0
5.137183214E1,3.809672832E0,-3.529413462E0,3.237578583E1
5.142183214E1,-4.232304990E-1,-5.722435474E0,-1.045932674E1
5.147183214E1,-5.000699997E0,-1.153071308E1,-6.032605171E0
5.152183214E1,8.533104897E0,-3.338376236E1,-9.264710426E0
5.157183214E1,4.155734634E1,-4.365465546E1,-1.931037712E1
5.162183214E1,8.092526436E0,-1.414965725E1,2.082204437E1
5.167183214E1,-4.447659016E0,5.328516960E0,9.102895737E0
5.172183214E1,8.887541771E0,-2.009372711E0,2.095514536E0
5.177183214E1,8.356036186E0,4.933701038E0,1.073809052E1
5.182183214E1,-2.053640127E0,1.531705618E0,6.766304016E0
5.187183214E1,7.388737202E0,-4.561318398E0,5.057829022E-1
5.192183214E1,3.394876862E1,-5.640092468E1,2.427428818E1
5.197183214E1,6.512365818E0,-4.562484741E1,8.240283132E-1
5.202183214E1,3.381058455E0,5.069792867E-1,-2.395813704E0
5.207183214E1,-1.526919961E0,2.187638044E0,-9.606884003E0
5.212183214E1,-5.359922886E0,5.977570057E0,-1.783550262E1
5.217183214E1,-6.221638203E0,6.521039963E0,-7.665407181E0
5.222183214E1,9.043074608E0,-2.199751854E1,3.241197968E1
5.227183214E1,-6.348457813E0,1.558026671E0,-9.884750366E0
5.232183214E1,-4.371088982E0,-2.011586189E1,-1.201316643E1
5.237183214E1,2.000309944E1,-4.258207321E1,-6.511468410E0
5.242183214E1,4.288356781E1,-3.869643021E1,-1.568555069E1
