"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.717919895E0,-7.102150917E-1,9.720902443E-1,-1.581129074E0
7.767919895E0,2.212293148E-1,2.847802639E-1,-1.613044739E-2
7.817919895E0,1.054010391E-1,-6.389141083E-1,-8.759946823E-1
7.867919895E0,-9.080121517E-1,4.965018034E-1,-1.974703789E0
7.917919895E0,-1.363021255E0,1.030285358E0,-8.805322647E-1
7.967919895E0,-8.857703209E-1,1.235409260E0,-4.091920853E-1
8.017919895E0,-2.044684172E0,-8.771448135E-1,-5.926103592E-1
8.067919895E0,1.474369764E-1,3.088889122E-1,-1.506991386E0
8.117919895E0,1.992153525E0,3.304328442E0,-1.512547970E0
8.167919895E0,7.074359655E-1,-1.542412281E0,2.688387394E0
8.217919895E0,8.769886494E-1,-3.564297676E0,1.181741238E0
8.267919895E0,-2.024834871E0,-1.856449127E0,1.390708447E0
8.317919895E0,2.860975266E-2,-2.069084167E0,9.397459030E-2
8.367919895E0,7.075647116E-1,-1.236715317E-1,1.955877304E0
8.417919895E0,5.473105907E-1,5.814123154E-1,1.162157536E0
8.467919895E0,-2.893962860E-1,2.276058197E-1,1.451444626E-1
8.517919895E0,3.789229393E-1,-6.964850426E-1,-1.421647072E-1
8.567919895E0,1.625265598E0,-9.079351425E-1,5.757932663E-1
8.617919895E0,2.852598667E0,3.252716064E-1,3.242697716E-1
8.667919895E0,2.435150623E0,-4.919133186E-1,2.852282524E-1
8.717919895E0,5.727546215E-1,-3.614416122E-1,1.069350243E0
8.767919895E0,4.053931236E-1,-2.465295792E-1,1.611127853E-1
8.817919895E0,5.613982677E-1,-1.203279495E0,-8.278775215E-1
8.867919895E0,-2.257485390E-1,5.253791809E-1,-7.932815552E-1
8.917919895E0,5.370235443E-1,-1.746147633E0,-7.430782318E-1
8.967919895E0,9.420561790E-1,-3.350689650E0,9.078054428E-1
9.017919895E0,-1.457849026E0,1.864318848E-1,-4.374919415E0
9.067919895E0,-9.910025597E-1,-2.438423634E-1,-2.351613998E0
9.117919895E0,-3.050727844E-1,-1.028183579E0,-1.938980103E0
9.167919895E0,-1.447420835E0,2.134655714E-1,-2.636722088E0
9.217919895E0,-1.068577766E-1,1.838813782E0,-2.278610706E0
9.267919895E0,-1.305181503E0,8.995466232E-1,-1.524720669E0
9.317919895E0,-2.212585211E0,-6.703805923E-1,-1.590653896E0
9.367919895E0,-2.505540848E-1,5.726695061E-1,-1.069705963E0
9.417919895E0,5.413637161E-1,2.421550751E-1,2.210206985E-1
9.467919895E0,-2.449345589E-1,-1.342372894E0,6.561374664E-1
9.517919895E0,-3.060574532E-1,-1.843972683E0,1.475025177E0
9.567919895E0,8.812706470E-1,-3.219580650E-1,4.201378822E-1
9.617919895E0,-3.116123676E-1,-1.143724442E0,1.661705494E0
9.667919895E0,2.108976841E-1,-2.803080559E0,1.481605053E0
9.717919895E0,-2.677515745E-1,-2.046334267E0,9.615302086E-1
9.767919895E0,8.857190609E-2,4.998445511E-1,1.417660713E0
9.817919895E0,-1.530431509E-1,-1.267490387E-1,-8.990483284E-1
9.867919895E0,-1.771662474E0,-8.365588188E-1,-3.139142990E-1
9.917919895E0,1.019328475E0,1.216342926E0,-9.674782753E-1
9.967919895E0,2.575111389E-2,8.015155792E-1,8.563809395E-1
1.001791990E1,4.072205544E0,-1.706342220E0,5.169194221E0
1.006791990E1,8.601331711E-1,-2.912500381E0,-3.286218643E-2
1.011791990E1,-1.236188173E0,-1.547230244E0,-1.461715698E0
1.016791990E1,2.332949638E-1,-1.165371895E0,-1.380894661E0
1.021791990E1,-7.256071568E-1,7.111148834E-1,-2.762499809E0
1.026791990E1,-6.501563787E-1,1.119910240E0,-7.623729706E-1
1.031791990E1,2.498368025E-1,-1.174184322E0,-1.502024174E0
1.036791990E1,-6.350314617E-1,-2.830932140E-1,-3.399505615E-1
1.041791990E1,-8.437370062E-1,3.608124256E-1,-1.259954453E0
1.046791990E1,-1.240217805E0,7.113511562E-1,-2.401197433E0
1.051791990E1,-1.266083002E0,1.973783135E0,-3.695565224E0
1.056791990E1,-1.841530442E0,1.287359715E0,-2.781890869E0
1.061791990E1,-3.410177231E-1,1.952390671E-1,-6.789021492E-1
1.066791990E1,3.064923286E-1,-1.288447380E-1,2.033118725E0
1.071791990E1,-8.577177525E-1,-2.549288750E0,1.005920410E0
1.076791990E1,3.814564943E-1,-1.273036003E0,3.228187561E-2
1.081791990E1,1.071518660E0,1.628050327E0,-3.418087959E-1
1.086791990E1,-1.058735609E0,-1.132873535E0,1.247896671E0
1.091791990E1,1.425149918E0,-2.861446381E0,2.603543282E0
