"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.698627458E0,8.721589923E-2,-3.290345192E-2,8.914255679E-2
7.748490458E0,9.092942934E-2,7.540978611E-2,1.986004969E-2
7.798353458E0,2.272751694E-1,2.959568202E-2,-1.130886773E-1
7.848216458E0,-2.713601422E-2,5.931415558E-3,1.428591728E-1
7.898080458E0,9.029957458E-2,5.836690664E-2,-1.413587773E-1
7.947943458E0,-7.851440180E-2,1.433444917E-2,-5.813707452E-2
7.997806458E0,-1.177087269E-1,-9.301750660E-3,-1.953490796E-1
8.047669458E0,-1.116704900E-1,8.339298964E-3,4.670814335E-2
8.097532458E0,-7.417997047E-2,2.490738451E-2,-2.454836547E-2
8.147395458E0,-1.412468031E-3,1.097931683E-2,5.704249403E-2
8.197258458E0,1.438897446E-1,6.999175608E-2,1.216308198E-1
8.247121458E0,-2.944804714E-1,3.326013207E-2,-2.336927809E-1
8.296984458E0,-6.932100736E-1,-6.321190953E-2,-6.380013943E-2
8.346847458E0,-2.445053059E-1,1.359009862E-2,-3.528782586E-1
8.396710458E0,-1.859189094E-1,-1.936130047E-2,3.992193796E-2
8.446573208E0,1.791544484E-1,9.579259515E-2,-8.476584278E-2
8.496436208E0,2.264747221E-1,2.873274994E-1,-9.079044834E-3
8.546299208E0,-2.081004316E-1,-8.785207629E-2,2.855101848E-1
8.596162208E0,-4.391982182E-1,-1.258367586E-1,3.707142033E-2
8.646025208E0,-4.621261375E-1,-1.373510957E-2,1.937971920E-1
8.695888208E0,1.171449456E-2,5.353418291E-2,-1.094318835E-1
8.745751208E0,-7.410333540E-2,-1.568825501E-1,2.178292483E-1
8.795614208E0,1.197837210E-1,4.710633874E-2,1.485016628E-1
8.845477208E0,1.953985616E-1,1.657159388E-1,1.111965001E-2
8.895340208E0,-2.574642707E-1,-8.835259795E-2,2.282202622E-1
8.945203208E0,-2.343205526E-1,1.117169023E-2,4.833425403E-2
8.995066208E0,-1.346013146E-1,-1.871091467E-1,3.632757410E-1
9.044929208E0,4.892784143E-1,2.373630416E-1,3.824991202E-1
9.094792208E0,1.950878735E-1,1.932101315E-1,2.804318780E-1
9.144655208E0,1.468797731E-1,-1.565989602E-1,1.121478420E-1
9.194518208E0,4.758916161E-1,1.014380819E-1,5.423111254E-1
9.244381208E0,3.119991680E-1,3.028021556E-1,7.218036890E-2
9.294244208E0,1.195932662E-1,-2.189560068E-1,4.172181326E-1
9.344107208E0,3.646301023E-1,1.502032757E-1,-6.203771554E-2
9.393970208E0,-1.350294130E-1,-8.104299366E-2,1.078489691E-1
9.443832958E0,8.942391749E-2,8.654463887E-2,1.187394083E-1
9.493695958E0,7.376701087E-3,1.669520402E-1,-1.503284061E-1
9.543558958E0,-1.925177116E-1,-2.138309222E-1,2.497942221E-1
9.593421958E0,2.966844331E-2,1.694113791E-1,-2.401580107E-1
9.643284958E0,2.018780988E-1,-3.243801355E-2,-1.483723663E-2
9.693147958E0,2.633135512E-1,-1.291474521E-2,-8.715735398E-2
9.743010958E0,-1.386433303E-1,8.494367123E-2,-1.761714182E-1
9.792873958E0,4.700683375E-1,-1.866676819E-1,4.277729416E-1
9.842736958E0,3.666512655E-1,3.159759325E-1,-3.814594853E-1
9.892599958E0,-3.332191156E-2,-3.912313521E-2,2.436890712E-1
9.942462958E0,-3.709752814E-1,-7.322877467E-2,-1.607252672E-1
9.992325958E0,1.338009039E-1,1.864215142E-1,1.423300729E-1
1.004218896E1,-2.945961732E-1,-8.418938041E-2,-3.643042662E-1
1.009205196E1,-8.206766339E-2,1.829997236E-1,-1.978112324E-1
1.014191496E1,-4.167486012E-2,4.269344509E-1,1.333883645E-1
1.019177796E1,-2.498019331E-1,-4.804008061E-1,2.229981869E-1
1.024164096E1,-8.525162946E-1,1.345181197E-1,-2.991506425E-1
1.029150396E1,2.159389897E-1,3.639833272E-2,2.946675823E-1
1.034136696E1,1.584257400E-1,2.907060206E-2,-8.190670051E-2
1.039122996E1,3.697184590E-1,-6.755580604E-2,2.038409543E-1
1.044109283E1,-4.855953628E-2,-7.081562877E-3,1.553201741E-1
1.049095583E1,1.712706292E-1,-1.239364135E-1,3.698802441E-1
1.054081883E1,3.066404141E-1,2.092051899E-1,-9.841806807E-2
1.059068183E1,6.264831103E-1,-8.519977927E-3,5.383619890E-1
1.064054483E1,1.197416576E0,-1.363266635E-1,5.872124791E-2
1.069040783E1,1.348931309E0,1.988994724E-1,2.058378369E0
1.074027083E1,8.948745480E-1,-1.090941921E0,6.962852705E-1
1.079013383E1,2.475928185E-1,-2.383073670E-1,1.185069230E0
1.083999683E1,4.055283791E-1,1.295441272E0,-7.898616247E-1
1.088985983E1,-7.841589814E-1,1.220784608E0,-2.544963775E0
1.093972283E1,1.099209300E-1,2.158458143E0,-2.014149445E-1
1.098958583E1,5.032295639E0,9.255627823E-1,-6.362066645E-2
1.103944883E1,-5.003812097E0,-2.785579038E0,6.119918681E0
1.108931183E1,-3.548394221E0,-9.141139340E-1,9.265176326E-1
1.113917483E1,2.344968389E0,1.395112910E0,-1.552084923E0
1.118903783E1,-7.791107878E-2,4.449082071E-1,4.003471613E-2
